code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual	
Y301	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y302	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y303	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y304	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y305	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y306	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y307	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y308	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y309	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y31	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y310	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y311	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y312	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y313	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y314	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y315	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y316	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y317	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y318	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y319	"Falling, lying or running before or into moving object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y32	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y320	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y321	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y322	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y323	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y324	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y325	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y326	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y327	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y328	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y329	"Crashing of motor vehicle, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y28	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y280	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y281	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y282	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y283	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y284	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y285	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y286	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y287	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y288	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y289	"Contact with sharp object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
3860	Assault by bite of human being	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
10131	[X]Bite from human	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
5140	"Injury ?accidental, by stabbing instrument"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
43355	"Injury ?accidental, by crashing of motor vehicle"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
73119	Other fall on same level- push/shove/collide-oth person NOS	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
68963	"Injury ?accidental, by cutting and stabbing instruments"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
41306	"Injury ?accidental, by crashing of aircraft"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
46776	Transection of oesophagus using staple gun	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
69499	"Injury ?accidental, fall from high place NOS"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
73097	"Injury ?accidental, fall from natural site"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
69297	"Injury ?accidental, by cutting or stabbing instrument NOS"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
53385	Fall on same level- push/shove/collide - other person NOS	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
66934	"[X]Oth fall same levl, collisn/push by anoth pers, occ home"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
66934	"[X]Oth fall same levl, collisn/push by anoth pers, occ home"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM			2	read	1	
97430	"Injury ?accidental, by jumping before moving object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
70410	"Injury ?accidental, fall from other man-made structure"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
93208	"Injury ?accidental, by lying before moving object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
102454	[X]Fall jump/push frm high plce undt intn indust/constr area	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
W040	Fall while being carried or supported by other persons	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
X590	Exposure to unspecified factor	Child harm by undetermined intent - exposure to unspecified factor	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM	Home			ICD-10	1	
X591	Exposure to unspecified factor	Child harm by undetermined intent - exposure to unspecified factor	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM	Residential institution			ICD-10	1	
X599	Exposure to unspecified factor	Child harm by undetermined intent - exposure to unspecified factor	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM	Unspecified place			ICD-10	1	
52376	"[X]Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
Y21	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y210	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y211	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y212	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y213	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y214	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y215	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y216	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y217	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y218	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y219	"Drowning and submersion, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
17097	Injury undetermined whether accidentally/purposely inflicted	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
25274	Injury undetermined accidental or purposely inflicted NOS	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
Y22	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y220	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y221	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y222	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y223	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y224	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y225	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y226	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y227	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y228	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y229	"Handgun discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y23	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y230	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y231	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y232	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y233	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y234	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y235	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Child harm by undetermined intent - NOS or rarer events (incl. by firearm, drownings, SID)"	Child harm by undetermined intent - NOS or rarer events (incl. by firearm)	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
