medcode	term	health_comorbidity_domain	severity	scale	system	individual
44913	Hypoplastic anaemia - familial	Anaemia			read	2
68087	Aplastic anaemia NOS	Anaemia			read	2
47620	Transient erythroblastopenia of childhood	Anaemia			read	2
31275	Pancytopenia with malformation	Anaemia			read	2
34953	Transient hypoplastic anaemia	Anaemia			read	2
43825	Normocytic anaemia due to aplasia	Anaemia			read	2
41142	Idiopathic aplastic anaemia	Anaemia			read	2
7225	Congenital pure red cell aplasia	Anaemia			read	2
47438	Constitutional red cell hypoplasia	Anaemia			read	2
69027	Constitutional aplastic anaemia	Anaemia			read	2
32715	Hypoplastic anaemia due to drug or chemical substance	Anaemia			read	2
65351	Hypoplastic anaemia due to infection	Anaemia			read	2
43166	Aplastic anaemia due to drugs	Anaemia			read	2
65502	Secondary red cell aplasia NEC	Anaemia			read	2
31774	Secondary red cell hypoplasia NEC	Anaemia			read	2
69269	"Acquired pure red cell aplasia, unspecified"	Anaemia			read	2
64625	Fanconi's hypoplastic anaemia	Anaemia			read	2
107828	Erythrogenesis imperfecta	Anaemia			read	2
57859	Aplastic anaemia due to infection	Anaemia			read	2
72104	Red cell hypoplasia	Anaemia			read	2
71965	Chronic acquired pure red cell aplasia	Anaemia			read	2
31491	Pancytopenia-dysmelia	Anaemia			read	2
72252	Constitutional red cell aplasia and hypoplasia	Anaemia			read	2
61462	Congenital red cell hypoplasia	Anaemia			read	2
69061	Constitutional aplastic anaemia without malformation	Anaemia			read	2
61326	Pancytopenia with pancreatitis	Anaemia			read	2
69379	Other specified constitutional aplastic anaemia	Anaemia			read	2
66239	Aplastic anaemia due to toxic cause	Anaemia			read	2
57114	Hypoplastic anaemia due to toxic cause	Anaemia			read	2
40244	Transient acquired pure red cell aplasia	Anaemia			read	2
102848	Constitutional aplastic anaemia with malformation	Anaemia			read	2
70128	Radiation aplastic anaemia	Anaemia			read	2
109273	Blackfan - Diamond syndrome	Anaemia			read	2
D60	Acquired pure red cell aplasia [erythroblastopenia]	Anaemia			ICD-10	2
D61	Other aplastic anaemias	Anaemia			ICD-10	2
4080	Folate-deficiency anaemia	Anaemia			read	2
24870	Folic acid deficiency anaemia	Anaemia			read	2
22715	Combined B12 and folate deficiency anaemia	Anaemia			read	2
42117	Folate-deficiency anaemia NOS	Anaemia			read	2
36634	Folate-deficiency anaemia due to dietary causes	Anaemia			read	2
53783	[X]Other folate deficiency anaemias	Anaemia			read	2
37082	"Folate-deficiency anaemia, drug induced"	Anaemia			read	2
55481	Folate-deficiency anaemia due to malabsorption	Anaemia			read	2
56114	Folate-deficiency anaemia due to liver disorders	Anaemia			read	2
98709	Goat's milk anaemia	Anaemia			read	2
D52	Folate deficiency anaemia	Anaemia			ICD-10	2
795	Iron deficiency anaemias	Anaemia			read	2
15439	Iron deficiency anaemia NOS	Anaemia			read	2
18137	Unspecified iron deficiency anaemia	Anaemia			read	2
4858	[X]Other iron deficiency anaemias	Anaemia			read	2
27726	Iron deficiency anaemia due to chronic blood loss	Anaemia			read	2
21127	Iron deficiency anaemia due to dietary causes	Anaemia			read	2
9537	Other specified iron deficiency anaemia NOS	Anaemia			read	2
33420	Other specified iron deficiency anaemia	Anaemia			read	2
6816	Normocytic anaemia due to chronic blood loss	Anaemia			read	2
48338	Iron deficiency anaemia due to blood loss	Anaemia			read	2
20123	Plummer - Vinson syndrome	Anaemia			read	2
35199	Plummer-Vinson syndrome	Anaemia			read	2
19383	Sideropenic anaemia	Anaemia			read	2
19951	Achlorhydric anaemia	Anaemia			read	2
55478	Sideropenic dysphagia	Anaemia			read	2
36965	Kelly-Paterson syndrome	Anaemia			read	2
94528	Asiderotic anaemia	Anaemia			read	2
57954	Chlorotic anaemia	Anaemia			read	2
31347	Kelly - Paterson syndrome	Anaemia			read	2
D50	Iron deficiency anaemia	Anaemia			ICD-10	2
12176	Chronic anaemia	Anaemia			read	2
35160	Other anaemias NOS	Anaemia			read	2
24953	H/O: anaemia NOS	Anaemia			read	2
15936	Sideroblastic anaemia	Anaemia			read	2
25876	Other specified anaemias	Anaemia			read	2
31205	[X]Anaemia in other chronic diseases classified elsewhere	Anaemia			read	2
16929	Anaemia secondary to renal failure	Anaemia			read	2
19574	Anaemia of prematurity	Anaemia			read	2
11961	Other deficiency anaemias	Anaemia			read	2
25394	Anaemia secondary to chronic renal failure	Anaemia			read	2
2743	Acute posthaemorrhagic anaemia	Anaemia			read	2
30637	Anaemia in neoplastic disease	Anaemia			read	2
28768	Other specified anaemia NOS	Anaemia			read	2
34934	Other specified anaemias	Anaemia			read	2
40750	Idiopathic hypochromic anaemia	Anaemia			read	2
51489	Other specified megaloblastic anaemia NEC	Anaemia			read	2
26327	Other specified deficiency anaemias	Anaemia			read	2
31248	Congenital anaemia	Anaemia			read	2
37539	Aplastic and other anaemias	Anaemia			read	2
58695	Other specified other anaemia	Anaemia			read	2
57274	Other deficiency anaemias NOS	Anaemia			read	2
16052	Refractory Anaemia	Anaemia			read	2
56348	Other specified megaloblastic anaemia NEC NOS	Anaemia			read	2
45929	Normocytic anaemia following acute bleed	Anaemia			read	2
51169	[X]Other specified anaemias	Anaemia			read	2
35749	Haemoglobin very low	Anaemia			read	2
2452	Protein-deficiency anaemia	Anaemia			read	2
31040	Congenital dyserythropoietic anaemia	Anaemia			read	2
33278	Leukoerythroblastic anaemia	Anaemia			read	2
59103	Megaloblastic anaemia due to dietary causes	Anaemia			read	2
58136	Other specified nutritional deficiency anaemia	Anaemia			read	2
48145	Anaemia in ovarian carcinoma	Anaemia			read	2
53799	Megaloblastic anaemia NOS	Anaemia			read	2
71840	[X]Nutritional anaemias	Anaemia			read	2
56752	Congenital dyserythropoiesis NEC	Anaemia			read	2
70835	Protein-deficiency anaemia NOS	Anaemia			read	2
92106	Other specified nutritional deficiency anaemia NOS	Anaemia			read	2
53422	Congenital dyshaematopoietic anaemia	Anaemia			read	2
41699	Acquired sideroblastic anaemia	Anaemia			read	2
31550	Secondary sideroblastic anaemia due to disease	Anaemia			read	2
94387	Sideroblastic anaemia NOS	Anaemia			read	2
43330	Congenital sideroblastic anaemia	Anaemia			read	2
47225	Secondary sideroblastic anaemia due to drugs and toxins	Anaemia			read	2
100576	Other specified other nutritional deficiency anaemia	Anaemia			read	2
64601	Amino-acid deficiency anaemia	Anaemia			read	2
62257	Vitamin E deficiency anaemia	Anaemia			read	2
99494	Congenital anaemia from fetal blood loss	Anaemia			read	2
104812	Vitamin C deficiency anaemia	Anaemia			read	2
72276	Pyridoxine-responsive sideroblastic anaemia	Anaemia			read	2
70732	Hereditary erythroblast multinuclearity + positive acid test	Anaemia			read	2
71773	Oroticaciduria	Anaemia			read	2
99222	"[X]Other congenital anaemias, not elsewhere classified"	Anaemia			read	2
D53	Other nutritional anaemias	Anaemia			ICD-10	2
D62	Acute posthaemorrhagic anaemia	Anaemia			ICD-10	2
D63	Anaemia in chronic diseases classified elsewhere	Anaemia			ICD-10	2
D64	Other anaemias	Anaemia			ICD-10	2
7237	Hereditary spherocytosis	Anaemia			read	2
3818	Autoimmune haemolytic anaemias	Anaemia			read	2
29323	Haemolytic-uraemic syndrome	Anaemia			read	2
21335	H/O: haemolytic anaemia	Anaemia			read	2
14698	Hereditary haemolytic anaemia NOS	Anaemia			read	2
22531	Glucose-6-phosphate dehydrogenase deficiency anaemia	Anaemia			read	2
31107	Hereditary elliptocytosis	Anaemia			read	2
18631	Haemolytic anaemias NOS	Anaemia			read	2
35612	Paroxysmal nocturnal haemoglobinuria	Anaemia			read	2
39876	Autoimmune haemolytic anaemia NOS	Anaemia			read	2
21369	Coombs positive haemolysis	Anaemia			read	2
32373	Haemoglobin-E disease	Anaemia			read	2
27771	Acquired haemolytic anaemias	Anaemia			read	2
31800	Haemoglobin-C disease	Anaemia			read	2
29933	Acquired spherocytosis	Anaemia			read	2
31462	Other haemoglobinopathy NOS	Anaemia			read	2
7624	Haemoglobin-D disease	Anaemia			read	2
5434	March haemoglobinuria	Anaemia			read	2
38327	Microangiopathic haemolytic anaemia	Anaemia			read	2
39456	Hereditary haemolytic anaemias	Anaemia			read	2
39944	Primary cold-type haemolytic anaemia	Anaemia			read	2
7526	Haemoglobin-H disease	Anaemia			read	2
48096	Cold haemoglobinuria	Anaemia			read	2
15314	Acquired haemolytic anaemia NOS	Anaemia			read	2
44381	Favism	Anaemia			read	2
39682	Acholuric familial jaundice	Anaemia			read	2
45944	Hereditary persistence of fetal haemoglobin [HPFH]	Anaemia			read	2
47598	Stomatocytosis	Anaemia			read	2
45935	Other specified other haemoglobinopathy	Anaemia			read	2
28238	Paroxysmal cold haemoglobinuria	Anaemia			read	2
39967	Other specified haemolytic anaemias	Anaemia			read	2
55561	Haemolytic anaemia due to pyruvate kinase deficiency	Anaemia			read	2
39164	Neonatal jaundice + glucose-6-phosphate dehydrogenase defic.	Anaemia			read	2
26437	Haemoglobinuria due to haemolysis from external causes	Anaemia			read	2
49182	Primary warm-type haemolytic anaemia	Anaemia			read	2
52522	Haemoglobinuria due to haemolysis from external cause NOS	Anaemia			read	2
43367	Mechanical haemolytic anaemia	Anaemia			read	2
46322	Hb F disease	Anaemia			read	2
87112	[X]Other haemoglobinopathies	Anaemia			read	2
50495	Acquired haemolytic anaemia with haemoglobinuria NEC	Anaemia			read	2
61665	Paroxysmal haemoglobinuria NOS	Anaemia			read	2
99917	[X]Haemolytic anaemias	Anaemia			read	2
31734	Drug-induced autoimmune haemolytic anaemia	Anaemia			read	2
67088	Drug-induced haemolytic anaemia	Anaemia			read	2
57897	Non-autoimmune haemolytic anaemia	Anaemia			read	2
63936	Infective haemolytic anaemia	Anaemia			read	2
64468	"Pyknocytosis, infantile"	Anaemia			read	2
70762	Perinatal jaundice from hereditary haemolytic anaemias	Anaemia			read	2
49822	Ovalocytosis - hereditary	Anaemia			read	2
107820	Haemolytic anaemia due to hexokinase deficiency	Anaemia			read	2
57298	Congenital Heinz-body anaemia	Anaemia			read	2
57575	Secondary cold-type haemolytic anaemia	Anaemia			read	2
91034	Haemoglobinuria from exertion	Anaemia			read	2
100388	[X]Other autoimmune haemolytic anaemias	Anaemia			read	2
64619	Minkowski - Chauffard syndrome	Anaemia			read	2
72721	Other specified hereditary haemolytic anaemias	Anaemia			read	2
99308	Other specified non-autoimmune haemolytic anaemia	Anaemia			read	2
31662	Haemoglobin Zurich disease	Anaemia			read	2
103151	Other specified hereditary haemolytic anaemia NOS	Anaemia			read	2
94214	Non-autoimmune haemolytic anaemia NOS	Anaemia			read	2
103252	Perinatal jaundice from hereditary haemolytic anaemia NOS	Anaemia			read	2
49451	Drug-induced enzyme deficiency anaemia	Anaemia			read	2
71808	Haemolytic anaemia due to glutathione metabolism disorder	Anaemia			read	2
104454	Anaemia due to disorders of nucleotide metabolism	Anaemia			read	2
110176	Enzyme deficiency haemolytic anaemia NOS	Anaemia			read	2
40545	Haemoglobin Bart's disease	Anaemia			read	2
100022	Marchiafava - Micheli syndrome	Anaemia			read	2
D55	Anaemia due to enzyme disorders	Anaemia			ICD-10	2
D58	Other hereditary haemolytic anaemias	Anaemia			ICD-10	2
D59	Acquired haemolytic anaemia	Anaemia			ICD-10	2
D570	Sickle-cell anaemia with crisis	Anaemia			ICD-10	2
D571	Sickle-cell anaemia without crisis	Anaemia			ICD-10	2
D572	Double heterozygous sickling disorders	Anaemia			ICD-10	2
D578	Other sickle-cell disorders	Anaemia			ICD-10	2
2464	Pernicious anaemia	Anaemia			read	2
6028	"Vitamin B12 deficiency anaemia, unspecified"	Anaemia			read	2
5271	Vitamin B12 deficiency anaemia	Anaemia			read	2
29486	Other vitamin B12 deficiency anaemias	Anaemia			read	2
31270	Other vitamin B12 deficiency anaemia NOS	Anaemia			read	2
32953	Vitamin B12 deficiency anaemia due to dietary causes	Anaemia			read	2
53846	"[X]Vitamin B12 deficiency anaemia, unspecified"	Anaemia			read	2
35092	[X]Other vitamin B12 deficiency anaemias	Anaemia			read	2
47952	[X]Other dietary vitamin B12 deficiency anaemia	Anaemia			read	2
2482	Vit B12 defic anaemia due to malabsorption with proteinuria	Anaemia			read	2
2813	Addison's anaemia	Anaemia			read	2
62637	Transcobalamin II deficiency	Anaemia			read	2
66935	Reticulcytosis after B12	Anaemia			read	2
46289	Congenital deficiency of intrinsic factor	Anaemia			read	2
69275	Vegan's anaemia	Anaemia			read	2
56973	Myasthenic syndrome due to pernicious anaemia	Anaemia			read	2
55370	Biermer's congenital pernicious anaemia	Anaemia			read	2
72895	Imerslund - Grasbeck syndrome	Anaemia			read	2
D51	Vitamin B?????? deficiency anaemia	Anaemia			ICD-10	2
4078	Folic acid deficiency	Anaemia			read	2
54738	H/O: Anaemia vit.B12 deficient	Anaemia	History		read	2
739	Anaemia unspecified	Anaemia	Possible diagnosis		read	2
4839	Microcytic hypochromic anaemia	Anaemia	Possible diagnosis		read	2
5833	H/O: anaemia	Anaemia	Possible diagnosis		read	2
7841	Deficiency anaemias	Anaemia	Possible diagnosis		read	2
3942	Haemoglobin low	Anaemia	Possible diagnosis		read	2
3981	Macrocytic anaemia unspecified cause	Anaemia	Possible diagnosis		read	2
1702	Normocytic anaemia due to unspecified cause	Anaemia	Possible diagnosis		read	2
3265	Other and unspecified anaemias	Anaemia	Possible diagnosis		read	2
8054	Deficiency anaemias NOS	Anaemia	Possible diagnosis		read	2
539	Microcytic - hypochromic anaemia	Anaemia	Possible diagnosis		read	2
4670	Secondary anaemia NOS	Anaemia	Possible diagnosis		read	2
882	Hypochromic - microcytic anaemia	Anaemia	Possible diagnosis		read	2
4475	Megaloblastic anaemia	Anaemia	Possible diagnosis		read	2
797	Macrocytic anaemia of unspecified cause	Anaemia	Possible diagnosis		read	2
10506	[X]Megaloblastic anaemia NOS	Anaemia	Possible diagnosis		read	2
3326	Haemolytic anaemias	Anaemia	Possible diagnosis		read	2
1529	Other haemoglobinopathies	Anaemia	Possible diagnosis		read	2
12329	B12 injections - at surgery	Anaemia			read	2
2515	Vitamin B12 deficiency	Anaemia			read	2
7403	B12 deficiency monitoring	Anaemia			read	2
42928	B12 injections - at home	Anaemia			read	2
8013	B12 defic.follow-up assessment	Anaemia			read	2
11126	B12 defic. initial assessment	Anaemia			read	2
31126	B12 injections started	Anaemia			read	2
36840	B12 defic. monitoring NOS	Anaemia			read	2
58599	B12 injections stopped	Anaemia			read	2
7736	Subacute combined degeneration of spinal cord	Anaemia			read	2
48714	B12 def.-dubious diag.criteria	Anaemia			read	2
24581	Cerebral degeneration due to vitamin B12 deficiency	Anaemia			read	2
78	Asthma	Asthma			read	2
10043	Asthma annual review	Asthma			read	2
81	Asthma monitoring	Asthma			read	2
13173	Asthma not disturbing sleep	Asthma			read	2
13174	Asthma not limiting activities	Asthma			read	2
10274	Asthma medication review	Asthma			read	2
25707	Asthma monitor 1st letter	Asthma			read	2
42824	Asthma daytime symptoms	Asthma			read	2
13176	Asthma follow-up	Asthma			read	2
7378	Asthma management plan given	Asthma			read	2
25706	Asthma monitor 2nd letter	Asthma			read	2
26501	Asthma never causes daytime symptoms	Asthma			read	2
185	Acute exacerbation of asthma	Asthma			read	2
25705	Asthma monitor 3rd letter	Asthma			read	2
19520	Asthma treatment compliance satisfactory	Asthma			read	2
5515	Seen in asthma clinic	Asthma			read	2
19539	Asthma monitoring check done	Asthma			read	2
7191	Asthma limiting activities	Asthma			read	2
13064	Asthma severity	Asthma			read	2
26504	Asthma never restricts exercise	Asthma			read	2
7416	Asthma disturbing sleep	Asthma			read	2
38143	Asthma never disturbs sleep	Asthma			read	2
16667	Asthma control step 2	Asthma			read	2
16070	Asthma NOS	Asthma			read	2
10996	Asthma resolved	Asthma			read	2
31225	Asthma causes daytime symptoms 1 to 2 times per month	Asthma			read	2
26861	Asthma sometimes restricts exercise	Asthma			read	2
26503	Asthma causes daytime symptoms most days	Asthma			read	2
18224	Asthma control step 3	Asthma			read	2
102170	Asthma review using Roy Colleg of Physicians three questions	Asthma			read	2
24884	Asthma causes daytime symptoms 1 to 2 times per week	Asthma			read	2
9018	Number of asthma exacerbations in past year	Asthma			read	2
232	Asthma attack	Asthma			read	2
19167	Asthma monitoring by nurse	Asthma			read	2
26496	Health education - asthma	Asthma			read	2
16785	Asthma control step 1	Asthma			read	2
11022	Asthma trigger	Asthma			read	2
11387	Refuses asthma monitoring	Asthma			read	2
16655	Asthma monitoring admin.	Asthma			read	2
31135	Asthma monitor phone invite	Asthma			read	2
11839	Asthma resolved	Asthma			read	2
1555	Bronchial asthma	Asthma			read	2
19519	Asthma treatment compliance unsatisfactory	Asthma			read	2
5867	Exercise induced asthma	Asthma			read	2
98185	Asthma control test	Asthma			read	2
4442	Asthma unspecified	Asthma			read	2
102449	Asthma trigger - respiratory infection	Asthma			read	2
39570	Asthma causes night symptoms 1 to 2 times per month	Asthma			read	2
30815	Asthma causing night waking	Asthma			read	2
5609	Asthma screening	Asthma		1	read	2
37943	Asthma monitor verbal invite	Asthma			read	2
38144	Asthma limits walking up hills or stairs	Asthma			read	2
31167	Asthma night-time symptoms	Asthma			read	2
7058	"Emergency admission, asthma"	Asthma			read	2
7229	Asthma prophylactic medication used	Asthma			read	2
25181	Asthma restricts exercise	Asthma			read	2
30458	Asthma monitoring by doctor	Asthma			read	2
103813	Asthma trigger - cold air	Asthma			read	2
102341	Asthma trigger - pollen	Asthma			read	2
18141	Asthma monitoring due	Asthma			read	2
233	Severe asthma attack	Asthma			read	2
9663	Step up change in asthma management plan	Asthma			read	2
102871	Asthma trigger - exercise	Asthma			read	2
7146	Extrinsic (atopic) asthma	Asthma			read	2
93736	Royal College of Physicians asthma assessment	Asthma			read	2
102400	Asthma causes night time symptoms 1 to 2 times per week	Asthma			read	2
1208	Childhood asthma	Asthma			read	2
102395	Asthma causes symptoms most nights	Asthma			read	2
3018	Mild asthma	Asthma			read	2
38146	Asthma disturbs sleep weekly	Asthma			read	2
103944	Asthma trigger - airborne dust	Asthma			read	2
30382	Asthma monitoring admin.NOS	Asthma			read	2
29645	Asthma control step 0	Asthma			read	2
13066	Asthma - currently dormant	Asthma			read	2
103321	Asthma trigger - animals	Asthma			read	2
13175	Asthma disturbs sleep frequently	Asthma			read	2
102301	Asthma trigger - seasonal	Asthma			read	2
41554	Asthma monitor offer default	Asthma			read	2
10487	Asthma - currently active	Asthma			read	2
99793	Patient has a written asthma personal action plan	Asthma			read	2
13065	Moderate asthma	Asthma			read	2
2290	Allergic asthma	Asthma			read	2
11370	Asthma confirmed	Asthma			read	2
103612	Asthma never causes night symptoms	Asthma			read	2
20886	Asthma control step 4	Asthma			read	2
46529	Attends asthma monitoring	Asthma			read	2
18223	Step down change in asthma management plan	Asthma			read	2
103318	Health education - structured patient focused asthma discuss	Asthma			read	2
3458	Occasional asthma	Asthma			read	2
8355	Asthma monitored	Asthma			read	2
5267	Intrinsic asthma	Asthma			read	2
47337	Asthma accident and emergency attendance since last visit	Asthma			read	2
103945	Asthma trigger - damp	Asthma			read	2
20422	Asthma clinic administration	Asthma			read	2
103631	Royal College Physician asthma assessment 3 question score	Asthma			read	2
102952	Asthma trigger - warm air	Asthma			read	2
9552	Change in asthma management plan	Asthma			read	2
103952	Asthma trigger - emotion	Asthma			read	2
4606	Exercise induced asthma	Asthma			read	2
26506	Asthma severely restricts exercise	Asthma			read	2
103955	Asthma trigger - tobacco smoke	Asthma			read	2
41020	Absent from work or school due to asthma	Asthma			read	2
102888	Asthma limits activities 1 to 2 times per week	Asthma			read	2
5138	Patient in asthma study	Asthma			read	2
5627	Hay fever with asthma	Asthma			read	2
103998	Asthma limits activities most days	Asthma			read	2
35927	Asthma leaflet given	Asthma			read	2
38145	Asthma limits walking on the flat	Asthma			read	2
15248	Hay fever with asthma	Asthma			read	2
102713	Asthma limits activities 1 to 2 times per month	Asthma			read	2
3665	Late onset asthma	Asthma			read	2
24479	Emergency asthma admission since last appointment	Asthma			read	2
100107	Health education - asthma self management	Asthma			read	2
4892	Status asthmaticus NOS	Asthma			read	2
7731	Pollen asthma	Asthma			read	2
108912	Asthma monitorng invit SMS (short message servce) txt messge	Asthma			read	2
25791	Asthma clinical management plan	Asthma			read	2
12987	Late-onset asthma	Asthma			read	2
105674	Asthma self-management plan agreed	Asthma			read	2
100397	Asthma control questionnaire	Asthma			read	2
3366	Severe asthma	Asthma			read	2
8335	Asthma attack NOS	Asthma			read	2
6707	Extrinsic asthma with asthma attack	Asthma			read	2
100740	Health education - structured asthma discussion	Asthma			read	2
14777	Extrinsic asthma without status asthmaticus	Asthma			read	2
5798	Chronic asthmatic bronchitis	Asthma			read	2
45782	Extrinsic asthma NOS	Asthma			read	2
110339	Asthma monitoring SMS text message 1st invitation	Asthma			read	2
54946	Asthma monitoring deleted	Asthma			read	2
18763	Referral to asthma clinic	Asthma			read	2
20860	Asthma control step 5	Asthma			read	2
110533	Asthma monitoring SMS text message 2nd invitation	Asthma			read	2
45073	Intrinsic asthma NOS	Asthma			read	2
24506	Further asthma - drug prevent.	Asthma			read	2
40823	Brittle asthma	Asthma			read	2
25796	Mixed asthma	Asthma			read	2
105420	Asthma self-management plan review	Asthma			read	2
111669	Asthma monitoring SMS text message 3rd invitation	Asthma			read	2
32727	Hyperreactive airways disease	Asthma			read	2
108475	Asthma management plan declined	Asthma			read	2
18207	Allergic bronchitis NEC	Asthma			read	2
47993	Does not have asthma management plan	Asthma			read	2
22752	Occupational asthma	Asthma			read	2
29325	Intrinsic asthma without status asthmaticus	Asthma			read	2
109958	Asthma-chronic obstructive pulmonary disease overlap syndrom	Asthma			read	2
23481	Asthma - cardiac	Asthma			read	2
41017	Aspirin induced asthma	Asthma			read	2
27926	Extrinsic asthma with status asthmaticus	Asthma			read	2
73522	Work aggravated asthma	Asthma			read	2
106805	Chronic asthma with fixed airflow obstruction	Asthma			read	2
21232	Allergic asthma NEC	Asthma			read	2
18323	Intrinsic asthma with asthma attack	Asthma			read	2
109468	Asthma monitoring invitation email	Asthma			read	2
43770	Asthma society member	Asthma			read	2
48591	Adverse reaction to theophylline (asthma)	Asthma			read	2
107167	Number days absent from school due to asthma in past 6 month	Asthma			read	2
109996	Telehealth asthma monitoring	Asthma			read	2
58196	Intrinsic asthma with status asthmaticus	Asthma			read	2
100509	Under care of asthma specialist nurse	Asthma			read	2
63233	Adverse reaction to antiasthmatic NOS	Asthma			read	2
47684	Detergent asthma	Asthma			read	2
55816	Adverse reaction to antiasthmatics	Asthma			read	2
92109	Asthma outreach clinic	Asthma			read	2
51116	"[X]Antiasthmats caus adverse effects in therapeut use, NEC"	Asthma			read	2
102209	Mini asthma quality of life questionnaire	Asthma			read	2
39478	Wood asthma	Asthma			read	2
40864	[X] Adverse reaction to theophylline - asthma	Asthma			read	2
73408	Antiasthmatic poisoning NOS	Asthma			read	2
104235	[X] Adverse reaction to antiasthmatics	Asthma			read	2
93353	Sequoiosis (red-cedar asthma)	Asthma			read	2
101133	[X] Adverse reaction to antiasthmatic NOS	Asthma			read	2
74025		Asthma			OXMIS	2
74093		Asthma			OXMIS	2
74348		Asthma			OXMIS	2
74381		Asthma			OXMIS	2
74500		Asthma			OXMIS	2
74588		Asthma			OXMIS	2
74627		Asthma			OXMIS	2
74778		Asthma			OXMIS	2
75049		Asthma			OXMIS	2
76765		Asthma			OXMIS	2
77881		Asthma			OXMIS	2
78239		Asthma			OXMIS	2
78930		Asthma			OXMIS	2
79714		Asthma			OXMIS	2
80085		Asthma			OXMIS	2
81113		Asthma			OXMIS	2
81364		Asthma			OXMIS	2
81835		Asthma			OXMIS	2
83552		Asthma			OXMIS	2
84251		Asthma			OXMIS	2
84275		Asthma			OXMIS	2
84312		Asthma			OXMIS	2
86315		Asthma			OXMIS	2
74458		Asthma			read	2
J45	Asthma	Asthma			ICD-10	2
J450	Predominantly allergic asthma	Asthma			ICD-10	2
J451	Nonallergic asthma	Asthma			ICD-10	2
J458	Mixed asthma	Asthma			ICD-10	2
J459	"Asthma, unspecified"	Asthma			ICD-10	2
J46	Status asthmaticus	Asthma			ICD-10	2
T486	"Poisoning: Antiasthmatics, not elsewhere classified"	Asthma			ICD-10	2
Y556	"Antiasthmatics, not elsewhere classified"	Asthma			ICD-10	2
