code	coding term	Indicator 1	Indicator 2	Exclusion_domain	severity	scale	system
30080	"Accidental cut,puncture,perf,h'ge - puncture procedure NOS"	Accident	Accident	Accident			read
31910	Accidental puncture during a procedure	Accident	Accident	Accident			read
27863	Accident caused by powered drill	Accident	Accident	Accident			read
52887	[V]Observation following other accident	Accident	Accident	Accident			read
71284	[X]Examination and observation following other accident	Accident	Accident	Accident			read
19408	Accident caused by screwdriver	Accident	Accident	Accident			read
18953	Accidents caused by lifting machines and appliances	Accident	Accident	Accident			read
54318	Accident caused by fork	Accident	Accident	Accident			read
50120	Accident caused by lift	Accident	Accident	Accident			read
51042	Accident caused by powered hand saw	Accident	Accident	Accident			read
53906	Accidental bumping into stationary object	Accident	Accident	Accident			read
49919	"Accidents caused by hot liquids and vapours,including steam"	Accident	Accident	Accident			read
29948	Accident caused by exposure to noise	Accident	Accident	Accident			read
20769	Accident caused by lightning	Accident	Accident	Accident			read
50160	"Accidents caused by hot substance, caustic/corrosive, steam"	Accident	Accident	Accident			read
32227	Accidents due to travel and motion	Accident	Accident	Accident			read
47448	Accident caused by powered hedge clipper	Accident	Accident	Accident			read
47876	Accidental decapitation NOS	Accident	Accident	Accident			read
48183	Tram accident NOS	Accident	Accident	Accident			read
55942	Accidents caused by industrial electric current	Accident	Accident	Accident			read
8962	Accident caused by earth moving/excavation machines NOS	Accident	Accident	Accident			read
31598	Accident caused by tin can lid	Accident	Accident	Accident			read
55845	Accident caused by other cutting/piercing instrument NOS	Accident	Accident	Accident			read
58109	Accident caused by printing machine	Accident	Accident	Accident			read
60447	Accident caused by pitchfork	Accident	Accident	Accident			read
51688	Accidents caused by mining and earth-drilling machinery	Accident	Accident	Accident			read
53459	Accident caused by other powered hand tool	Accident	Accident	Accident			read
65591	Accident caused by blasting materials	Accident	Accident	Accident			read
39774	Accident caused by gas cooker in private dwelling	Accident	Accident	Accident			read
68434	Accident caused by machinery NOS	Accident	Accident	Accident			read
44582	"Accidents caused by machinery, unspecified"	Accident	Accident	Accident			read
62709	Medical accident to patient NOS	Accident	Accident	Accident			read
17975	Accidents caused by unspecified electric current	Accident	Accident	Accident			read
25682	Accident caused by paper cutter	Accident	Accident	Accident			read
53470	"Accidents caused by a crowd, by collective fear or panic"	Accident	Accident	Accident			read
59301	Accident caused by edge of stiff paper	Accident	Accident	Accident			read
63197	"Fall on same level from collision with other person, unspec"	Accident	Accident	Accident			read
54930	Accidental bumping into projected object	Accident	Accident	Accident			read
56777	Accident caused by grain elevator	Accident	Accident	Accident			read
66251	Accident caused by metal drilling machine	Accident	Accident	Accident			read
24826	Accidental cut/puncture/perforation/h'ge during immunisation	Accident	Accident	Accident			read
43942	Accident involving industrial self propelled truck	Accident	Accident	Accident			read
66708	Accident caused by rake	Accident	Accident	Accident			read
45436	Accident caused by fall from moving part of machinery	Accident	Accident	Accident			read
46590	Surgical accidents to patients	Accident	Accident	Accident			read
56221	Accident caused by industrial electrical equipment+machines	Accident	Accident	Accident			read
67171	Accidents caused by woodworking and forming machines	Accident	Accident	Accident			read
93985	Accidental collision with stationary object	Accident	Accident	Accident			read
35949	Manned kite accident	Accident	Accident	Accident			read
36270	Accidental collision with person NOS	Accident	Accident	Accident			read
48067	Accident caused by ice pick	Accident	Accident	Accident			read
59947	Accidental collision with moving object	Accident	Accident	Accident			read
36921	Accident caused by lamp	Accident	Accident	Accident			read
68234	Accidental collision with projected object	Accident	Accident	Accident			read
68972	Accidents caused by metalworking machines	Accident	Accident	Accident			read
69896	Accidental bumping into moving object	Accident	Accident	Accident			read
93720	Accident caused by crane	Accident	Accident	Accident			read
57597	Accident caused by reaper	Accident	Accident	Accident			read
57788	Accident caused by lighter	Accident	Accident	Accident			read
58017	"Accident caused by Verey pistol, flare"	Accident	Accident	Accident			read
64174	Accident caused by mechanical shears	Accident	Accident	Accident			read
101104	Accident caused by other electric current NOS	Accident	Accident	Accident			read
57457	Accident caused by seabed bore or drill	Accident	Accident	Accident			read
62822	"Accident caused by hot substance,caustic/corrosive,steam NOS"	Accident	Accident	Accident			read
64104	Accident caused by other flame	Accident	Accident	Accident			read
65226	Accident caused by garbage disposal appliance	Accident	Accident	Accident			read
66620	Accident caused by winch	Accident	Accident	Accident			read
67372	Accident caused by fall into moving part of machinery	Accident	Accident	Accident			read
70514	Accident caused by machinery NOS	Accident	Accident	Accident			read
72809	Accident caused by lifting machine or appliance NOS	Accident	Accident	Accident			read
73639	Accident caused by powered hand tool NOS	Accident	Accident	Accident			read
91800	Accident caused by industrial electric current NOS	Accident	Accident	Accident			read
99044	Accidental bumping into person NOS	Accident	Accident	Accident			read
36369	Accident caused by land bore or drill	Accident	Accident	Accident			read
49343	Accident caused by hay derrick	Accident	Accident	Accident			read
56703	Accident caused by steam engine	Accident	Accident	Accident			read
59090	Accident caused by powered household appliance/implement NOS	Accident	Accident	Accident			read
70930	Accident caused by machine for manufacture of food/beverages	Accident	Accident	Accident			read
71219	Accident caused by pipe	Accident	Accident	Accident			read
73436	Accident caused by radial saw	Accident	Accident	Accident			read
94689	Accident caused by lathe	Accident	Accident	Accident			read
97075	Accident caused by mining or earth drilling machinery NOS	Accident	Accident	Accident			read
106073	Accident caused by metal sawing machine	Accident	Accident	Accident			read
52729	Tram accident NOS - pedestrian injured	Accident	Accident	Accident			read
57303	Accident caused by cloudburst	Accident	Accident	Accident			read
65461	"Accidental cut,puncture,perf,h'ge during catheterisation NOS"	Accident	Accident	Accident			read
66494	[X]Foreign object accident left in body during surg operatn	Accident	Accident	Accident			read
69943	Accident caused by noise exposure NOS	Accident	Accident	Accident			read
88348	Accident caused by torrential rain	Accident	Accident	Accident			read
95651	Accident caused by agricultural machinery NOS	Accident	Accident	Accident			read
95903	Accidents caused by other electric current	Accident	Accident	Accident			read
98161	Accident caused by textile machine	Accident	Accident	Accident			read
98162	Accident caused by lathe turnings	Accident	Accident	Accident			read
98489	Accident caused by hay rake	Accident	Accident	Accident			read
109807	"Accident caused by sewing machine, not powered"	Accident	Accident	Accident			read
35788	Accident caused by powered snow blower	Accident	Accident	Accident			read
54407	Accident caused by noise pollution	Accident	Accident	Accident			read
58034	Accident caused by sander	Accident	Accident	Accident			read
59241	Accident caused by other machinery	Accident	Accident	Accident			read
59629	Accident caused by furnace in other structure or building	Accident	Accident	Accident			read
60122	Accident caused by revolver	Accident	Accident	Accident			read
65342	Accident by liquid paraffin gas cooker in private dwelling	Accident	Accident	Accident			read
71696	Accident caused by metalworking machine NOS	Accident	Accident	Accident			read
73242	Accident caused by overturning of machinery	Accident	Accident	Accident			read
47245	Found injured on railway right-of-way unspecified	Accident	Accident	Accident			read
73594	Accident caused by dynamite	Accident	Accident	Accident			read
92800	Accidents caused by powered household appliances/implements	Accident	Accident	Accident			read
95035	Accident caused by pulley block	Accident	Accident	Accident			read
96021	Accident involving powered station baggage truck	Accident	Accident	Accident			read
96752	"Accident caused by object falling from/on/moved by,machinery"	Accident	Accident	Accident			read
99579	Accident caused by other machinery NOS	Accident	Accident	Accident			read
101088	Accident caused by fall into swimming pool	Accident	Accident	Accident			read
101427	Accident caused by sound waves	Accident	Accident	Accident			read
101721	Accident caused by abrasive wheel	Accident	Accident	Accident			read
102432	Accidental stepping on projected object	Accident	Accident	Accident			read
103113	Accident caused by blasting material NOS	Accident	Accident	Accident			read
108197	Other accident resulting from conflagration-apartment	Accident	Accident	Accident			read
109436	Accident caused by matches	Accident	Accident	Accident			read
33881	Accident caused by gas turbine	Accident	Accident	Accident			read
103248	Accident caused by thresher	Accident	Accident	Accident			read
72656	"Spacecraft accident NOS, other person injured"	Aircraft accident	Transport accident	Accident			read
24421	Spacecraft launching pad accident	Aircraft accident	Transport accident	Accident			read
10796	"Voluntary parachute descent injury, no accident to aircraft"	Aircraft accident	Transport accident	Accident			read
11065	Space transport accidents	Aircraft accident	Transport accident	Accident			read
24258	Spacecraft accidents	Aircraft accident	Transport accident	Accident			read
51654	Air and space transport accidents	Aircraft accident	Transport accident	Accident			read
48187	Spacecraft launching pad accident - occupant spacecraft inj	Aircraft accident	Transport accident	Accident			read
42786	"Sucked into aircraft jet, without accident to aircraft"	Aircraft accident	Transport accident	Accident			read
41756	[X]Helicopter accident injuring occupant	Aircraft accident	Transport accident	Accident			read
62229	Spacecraft launching pad accident - ground crew injured	Aircraft accident	Transport accident	Accident			read
51663	Aircraft accidents	Aircraft accident	Transport accident	Accident			read
46608	[X]Spacecraft accident injuring occupant	Aircraft accident	Transport accident	Accident			read
27923	Aeroplane accidents	Aircraft accident	Transport accident	Accident			read
85225	Collis aircraft-flying+bird - occ unpowered aircraft injured	Aircraft accident	Transport accident	Accident			read
59491	Plane accidents	Aircraft accident	Transport accident	Accident			read
44928	Glider accident	Aircraft accident	Transport accident	Accident			read
96024	"Aircraft rotating propeller injury, no accident to aircraft"	Aircraft accident	Transport accident	Accident			read
49909	Spacecraft launching pad accident - other person injured	Aircraft accident	Transport accident	Accident			read
62873	Hang glider accident	Aircraft accident	Transport accident	Accident			read
41192	Balloon accident	Aircraft accident	Transport accident	Accident			read
42747	Accidents caused by other cutting/piercing instrument/object	Aircraft accident	Transport accident	Accident			read
24310	"Spacecraft accident NOS, occupant of spacecraft injured"	Aircraft accident	Transport accident	Accident			read
66423	[X]Parachutist injured in air transport accident	Aircraft accident	Transport accident	Accident			read
35941	"Hit by aircraft, without accident to aircraft"	Aircraft accident	Transport accident	Accident			read
40289	Aircraft accident NOS	Aircraft accident	Transport accident	Accident			read
65306	Air and space transport accidents NOS	Aircraft accident	Transport accident	Accident			read
36002	"Collision of aircraft with bird, while in transit"	Aircraft accident	Transport accident	Accident			read
61614	[X]Air and space transport accidents	Aircraft accident	Transport accident	Accident			read
68298	Other air transport acc NOS- occupant of spacecraft injured	Aircraft accident	Transport accident	Accident			read
52274	Aircraft collision while taking off	Aircraft accident	Transport accident	Accident			read
57778	[X]Accident to nonpowered aircraft causing injury to occupnt	Aircraft accident	Transport accident	Accident			read
91663	Other air transport accidents	Aircraft accident	Transport accident	Accident			read
109562	Accident boarding aircraft	Aircraft accident	Transport accident	Accident			read
50614	Spacecraft accidents NOS	Aircraft accident	Transport accident	Accident			read
99839	Accident caused by overhead plane	Aircraft accident	Transport accident	Accident			read
31071	[X]Hang glider accident injuring occupant	Aircraft accident	Transport accident	Accident			read
56659	[X]Balloon accident injuring occupant	Aircraft accident	Transport accident	Accident			read
65881	[X]Accident to powered aircraft causing injury to occupant	Aircraft accident	Transport accident	Accident			read
69372	[X]Glider (nonpowered) accident injuring occupant	Aircraft accident	Transport accident	Accident			read
95052	Accident involving battery powered airport passenger vehicle	Aircraft accident	Transport accident	Accident			read
95377	[X]Occupant of aircraft inj in other spec air transport accs	Aircraft accident	Transport accident	Accident			read
101547	Aircraft collision-takeoff - occupant of spacecraft injured	Aircraft accident	Transport accident	Accident			read
107287	"Spacecraft accident NOS, member of ground crew injured"	Aircraft accident	Transport accident	Accident			read
62731	"[X]Accident to other private fixed-wing aircraft, inj occupt"	Aircraft accident	Transport accident	Accident			read
65885	[X]Other nonpowered aircraft accidents injuring occupant	Aircraft accident	Transport accident	Accident			read
65891	[X]Unspecified nonpowerd aircraft accident injuring occupant	Aircraft accident	Transport accident	Accident			read
66169	Accident boarding aircraft - occupant unpowered aircraft inj	Aircraft accident	Transport accident	Accident			read
71149	Aircraft accident NOS - crew comm aircraft surf/surf injured	Aircraft accident	Transport accident	Accident			read
73564	Other air transport acc NOS- other person injured	Aircraft accident	Transport accident	Accident			read
94841	Unpowered aircraft accident NOS - parachutist injured	Aircraft accident	Transport accident	Accident			read
95096	[X]Unspecified aircraft accident injuring occupant	Aircraft accident	Transport accident	Accident			read
95388	[X]Other specified air transport accidents	Aircraft accident	Transport accident	Accident			read
100311	Accident to powered aircraft while landing NOS	Aircraft accident	Transport accident	Accident			read
101580	Explosion on aircraft while in transit	Aircraft accident	Transport accident	Accident			read
101604	"Glider accident, occupant of unpowered aircraft injured"	Aircraft accident	Transport accident	Accident			read
103260	Accident caused by explosion of air tank	Aircraft accident	Transport accident	Accident			read
106476	"Hang glider accident, parachutist injured"	Aircraft accident	Transport accident	Accident			read
107977	Aircraft accident NOS - other person injured	Aircraft accident	Transport accident	Accident			read
109575	Other air transport acc NOS- occ other powered aircraft inj	Aircraft accident	Transport accident	Accident			read
110410	Aircraft collision while landing	Aircraft accident	Transport accident	Accident			read
110446	Collision of aircraft with another aircraft while in transit	Aircraft accident	Transport accident	Accident			read
111249	Explosion aircraft-flying - occupant unpowered aircraft inj	Aircraft accident	Transport accident	Accident			read
111251	Explosion aircraft-flying - occupant of spacecraft injured	Aircraft accident	Transport accident	Accident			read
111259	Aircraft explosion-takeoff - occupant of spacecraft injured	Aircraft accident	Transport accident	Accident			read
111794	Collis aircraft-flying+bird - occ comm surf/air aircraft inj	Aircraft accident	Transport accident	Accident			read
112362	Collis aircraft-flying+bird - occ other powered aircraft inj	Aircraft accident	Transport accident	Accident			read
V95	Accident to powered aircraft causing injury to occupant	Aircraft accident	Transport accident	Accident			ICD-10
V950	Helicopter accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V951	"Ultralight, microlight or powered-glider accident injuring occupant"	Aircraft accident	Transport accident	Accident			ICD-10
V952	"Accident to other private fixed-wing aircraft, injuring occupant"	Aircraft accident	Transport accident	Accident			ICD-10
V953	"Accident to commercial fixed-wing aircraft, injuring occupant"	Aircraft accident	Transport accident	Accident			ICD-10
V954	Spacecraft accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V958	Other aircraft accidents injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V959	Unspecified aircraft accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V96	Accident to nonpowered aircraft causing injury to occupant	Aircraft accident	Transport accident	Accident			ICD-10
V960	Balloon accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V961	Hang-glider accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V962	Glider (nonpowered) accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V968	Other nonpowered-aircraft accidents injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V969	Unspecified nonpowered-aircraft accident injuring occupant	Aircraft accident	Transport accident	Accident			ICD-10
V97	Other specified air transport accidents	Aircraft accident	Transport accident	Accident			ICD-10
V970	Occupant of aircraft injured in other specified air transport accidents	Aircraft accident	Transport accident	Accident			ICD-10
V971	Person injured while boarding or alighting from aircraft	Aircraft accident	Transport accident	Accident			ICD-10
V972	Parachutist injured in air transport accident	Aircraft accident	Transport accident	Accident			ICD-10
V973	Person on ground injured in air transport accident	Aircraft accident	Transport accident	Accident			ICD-10
V978	"Other air transport accidents, not elsewhere classified"	Aircraft accident	Transport accident	Accident			ICD-10
V98	Other specified transport accidents	Aircraft accident	Transport accident	Accident			ICD-10
V99	Unspecified transport accident	Aircraft accident	Transport accident	Accident			ICD-10
97994	Collision between animal being ridden and pedestrian	Animal collision	Transport accident	Accident			read
85175	Collision-ridden+other animal - rider of animal injured	Animal collision	Transport accident	Accident			read
67256	PCA-collision with animal - pedal cyclist injured	Animal collision	Transport accident	Accident			read
73926	Collision between ridden animal and other object	Animal collision	Transport accident	Accident			read
85213	MVTA+collision+animal+rider - pedal cyclist injured	Animal collision	Transport accident	Accident			read
106158	Collision between animal being ridden and other animal	Animal collision	Transport accident	Accident			read
31852	"Animal-drawn vehicle accident, ADVA"	Animal collision	Transport accident	Accident			read
71176	Ridden animal accident NOS - rider of animal injured	Animal collision	Transport accident	Accident			read
109542	Collision between animal being ridden+non-motor road vehicle	Animal collision	Transport accident	Accident			read
68380	MVTA involving collision between motor vehicle and animal	Animal collision	Transport accident	Accident			read
72285	PCA-collision+other object - other specified person injured	Animal collision	Transport accident	Accident			read
56307	MVTA+collision+animal - motor cyclist injured	Animal collision	Transport accident	Accident			read
98197	MVTA+collision+animal - motor vehicle passenger injured	Animal collision	Transport accident	Accident			read
51976	PCA-collision with animal - occupant of tram injured	Animal collision	Transport accident	Accident			read
65446	[X]Motorcycle rider inj collision with pedestrian or animal	Animal collision	Transport accident	Accident			read
69447	MVTA+collision+animal - motor vehicle driver injured	Animal collision	Transport accident	Accident			read
70772	MVNTA involving collision with animal	Animal collision	Transport accident	Accident			read
109555	MVTA+collision+disabled MV - occ animal-drawn veh/rider inj	Animal collision	Transport accident	Accident			read
43698	[X]Rider or occupant inj in collision with pedestrian/animal	Animal collision	Transport accident	Accident			read
55539	[X]Car occupant injured in collision with pedestrian/animal	Animal collision	Transport accident	Accident			read
68838	MVNTA+collision+animal - other specified person injured	Animal collision	Transport accident	Accident			read
72184	Ridden animal accident NOS - unspecified person injured	Animal collision	Transport accident	Accident			read
85208	MVTA+collision+animal+rider - motor cycle passenger injured	Animal collision	Transport accident	Accident			read
98163	ADVA-collision between animal-drawn vehicle and pedestrian	Animal collision	Transport accident	Accident			read
98894	PCA-collision+other object - occ animal-drawn vehicle inj	Animal collision	Transport accident	Accident			read
99014	Collision between road vehicle NEC and animal	Animal collision	Transport accident	Accident			read
99885	MVNTA+collision+animal - motor vehicle driver injured	Animal collision	Transport accident	Accident			read
99910	Pedal cycle accident involving collision with animal	Animal collision	Transport accident	Accident			read
104550	[X]Bus occupant injured in collision with pedestrian/animal	Animal collision	Transport accident	Accident			read
105832	MVTA+collision+animal+rider - motor cyclist injured	Animal collision	Transport accident	Accident			read
106088	MVTA+collision with animal carrying a person	Animal collision	Transport accident	Accident			read
109427	Collision-RV NEC + animal - pedestrian injured	Animal collision	Transport accident	Accident			read
109549	Collision-ridden+other animal - pedestrian injured	Animal collision	Transport accident	Accident			read
109581	MVTA+collision+animal+rider - pedestrian injured	Animal collision	Transport accident	Accident			read
V10	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V100	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V101	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V102	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V103	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V104	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V105	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V109	Pedal cyclist injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V20	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V200	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V201	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V202	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V203	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V204	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V205	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V209	Motorcycle rider injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V30	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V300	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V301	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V302	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V303	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V304	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V305	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V306	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V307	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V309	Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V40	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V400	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V401	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V402	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V403	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V404	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V405	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V406	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V407	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V409	Car occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V50	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V500	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V501	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V502	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V503	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V504	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V505	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V506	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V507	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V509	Occupant of pick-up truck or van injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V60	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V600	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V601	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V602	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V603	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V604	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V605	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V606	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V607	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V609	Occupant of heavy transport vehicle injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V70	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V700	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V701	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V702	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V703	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V704	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V705	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V706	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V707	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V709	Bus occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
V80	Animal-rider or occupant of animal-drawn vehicle injured in transport accident	Animal collision	Transport accident	Accident			ICD-10
V800	Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident	Animal collision	Transport accident	Accident			ICD-10
V801	Rider or occupant injured in collision with pedestrian or animal	Animal collision	Transport accident	Accident			ICD-10
38953	Fall on stairs or ladders in water transport	Boat Accident	Transport accident	Accident			read
24830	Accident involving ice yacht	Boat Accident	Transport accident	Accident			read
45834	Fall from one level to another NEC in water transport	Boat Accident	Transport accident	Accident			read
38848	Accident caused by diving or jumping into water	Boat Accident	Transport accident	Accident			read
55383	"Fall on stairs or ladders in water transport, NOS"	Boat Accident	Transport accident	Accident			read
72935	Water transport accidents	Boat Accident	Transport accident	Accident			read
49455	Fall due to collision or other accident to watercraft	Boat Accident	Transport accident	Accident			read
71936	Fall-stairs water transport - unspecified person injured	Boat Accident	Transport accident	Accident			read
39508	"[X]Accident to watercraft causing other injury, fishing boat"	Boat Accident	Transport accident	Accident			read
72781	[X]Other and unspecified water transport accidents	Boat Accident	Transport accident	Accident			read
57861	[X]Water transport accidents	Boat Accident	Transport accident	Accident			read
49890	"[X]Other and unspecified water transport accs, fishing boat"	Boat Accident	Transport accident	Accident			read
36574	"[X]Other and unspecified water transport accidents, sailboat"	Boat Accident	Transport accident	Accident			read
61159	"[X]Other and unspecified water transp accidents, water-skis"	Boat Accident	Transport accident	Accident			read
