Code,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
F841,Atypical autism,mMHP17,Autism spectrum disorder,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F841,"","","","",2,ICD-10
F840,Childhood autism,mMHP17,Autism spectrum disorder,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F840,"","","","",2,ICD-10
F910,Conduct disorder confined to the family context,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F910,"",ADHD,"","",2,ICD-10
F919,"Conduct disorder, unspecified",mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F919,"",ADHD,"","",2,ICD-10
F91,Conduct disorders,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F91,"",ADHD,"","",2,ICD-10
F920,Depressive conduct disorder,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F920,"",ADHD,"","",2,ICD-10
F900,Disturbance of activity and attention,mMHP17,ADHD or conduct disorder,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F900,"",ADHD,"","",2,ICD-10
F901,Hyperkinetic conduct disorder,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F901,"",ADHD,"","",2,ICD-10
F909,"Hyperkinetic disorder, unspecified",mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F909,"",ADHD,"","",2,ICD-10
F90,Hyperkinetic disorders,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F90,"",ADHD,"","",2,ICD-10
F929,"Mixed disorder of conduct and emotions, unspecified",mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F929,"",ADHD,"","",2,ICD-10
F92,Mixed disorders of conduct and emotions,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F92,"",ADHD,"","",2,ICD-10
F913,Oppositional defiant disorder,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F913,"",ADHD,"","",2,ICD-10
F843,Other childhood disintegrative disorder,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F843,"","","","",2,ICD-10
F918,Other conduct disorders,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F918,"",ADHD,"","",2,ICD-10
F88,Other disorders of psychological development,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F88,"","","","",2,ICD-10
F908,Other hyperkinetic disorders,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F908,"",ADHD,"","",2,ICD-10
F928,Other mixed disorders of conduct and emotions,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F928,"",ADHD,"","",2,ICD-10
F848,Other pervasive developmental disorders,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F848,"","","","",2,ICD-10
F844,Overactive disorder associated with mental retardation and stereotyped movements,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F844,"",ADHD,"","",2,ICD-10
F849,"Pervasive developmental disorder, unspecified",mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F849,"","","","",2,ICD-10
F842,Rett syndrome,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F842,"","","","",2,ICD-10
F912,Socialized conduct disorder,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F912,"",ADHD,"","",2,ICD-10
F911,Unsocialized conduct disorder,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F911,"",ADHD,"","",2,ICD-10
F89,Unspecified disorder of psychological development,mMHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F89,"","","","",2,ICD-10
Y29,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y29,"","","","",2,ICD-10
Y290,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y290,"","","","",2,ICD-10
Y291,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y291,"","","",2,2,ICD-10
Y292,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y292,"","","","",2,ICD-10
Y293,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y293,"","","","",2,ICD-10
Y294,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y294,"","","","",2,ICD-10
Y295,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y295,"","","","",2,ICD-10
Y296,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y296,"","","","",2,ICD-10
Y297,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y297,"","","","",2,ICD-10
Y298,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y298,"","","","",2,ICD-10
Y299,"Contact with blunt object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y299,"","","","",2,ICD-10
Y25,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y25,"","","","",2,ICD-10
Y250,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y250,"","","","",2,ICD-10
Y251,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y251,"","","","",2,ICD-10
Y252,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y252,"","","","",2,ICD-10
Y253,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y253,"","","","",2,ICD-10
Y254,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y254,"","","","",2,ICD-10
Y255,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y255,"","","","",2,ICD-10
Y256,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y256,"","","","",2,ICD-10
Y257,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y257,"","","","",2,ICD-10
Y258,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y258,"","","","",2,ICD-10
Y259,"Contact with explosive material, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y259,"","","","",2,ICD-10
Y28,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y28,"","","","",2,ICD-10
Y280,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y280,"","","","",2,ICD-10
Y281,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y281,"","","","",2,ICD-10
Y282,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y282,"","","","",2,ICD-10
Y283,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y283,"","","","",2,ICD-10
Y284,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y284,"","","","",2,ICD-10
Y285,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y285,"","","","",2,ICD-10
Y286,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y286,"","","","",2,ICD-10
Y287,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y287,"","","","",2,ICD-10
Y288,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y288,"","","","",2,ICD-10
Y289,"Contact with sharp object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y289,"","","","",2,ICD-10
Y27,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y27,"","","","",2,ICD-10
Y270,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y270,"","","","",2,ICD-10
Y271,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y271,"","","","",2,ICD-10
Y272,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y272,"","","","",2,ICD-10
Y273,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y273,"","","","",2,ICD-10
Y274,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y274,"","","","",2,ICD-10
Y275,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y275,"","","","",2,ICD-10
Y276,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y276,"","","","",2,ICD-10
Y277,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y277,"","","","",2,ICD-10
Y278,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y278,"","","","",2,ICD-10
Y279,"Contact with steam, hot vapours and hot objects, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y279,"","","","",2,ICD-10
Y21,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y21,"","","","",2,ICD-10
Y210,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y210,"","","","",2,ICD-10
Y211,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y211,"","","","",2,ICD-10
Y212,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y212,"","","","",2,ICD-10
Y213,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y213,"","","","",2,ICD-10
Y214,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y214,"","","","",2,ICD-10
Y215,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y215,"","","","",2,ICD-10
Y216,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y216,"","","","",2,ICD-10
Y217,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y217,"","","","",2,ICD-10
Y218,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y218,"","","","",2,ICD-10
Y219,"Drowning and submersion, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y219,"","","","",2,ICD-10
Y26,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y26,"","","","",2,ICD-10
Y260,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y260,"","","","",2,ICD-10
Y261,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y261,"","","","",2,ICD-10
Y262,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y262,"","","","",2,ICD-10
Y263,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y263,"","","","",2,ICD-10
Y264,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y264,"","","","",2,ICD-10
Y265,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y265,"","","","",2,ICD-10
Y266,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y266,"","","","",2,ICD-10
Y267,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y267,"","","","",2,ICD-10
Y268,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y268,"","","","",2,ICD-10
Y269,"Exposure to smoke, fire and flames, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y269,"","","","",2,ICD-10
Y30,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y30,"","","","",2,ICD-10
Y300,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y300,"","","","",2,ICD-10
Y301,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y301,"","","","",2,ICD-10
Y302,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y302,"","","","",2,ICD-10
Y303,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y303,"","","","",2,ICD-10
Y304,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y304,"","","","",2,ICD-10
Y305,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y305,"","","","",2,ICD-10
Y306,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y306,"","","","",2,ICD-10
Y307,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y307,"","","","",2,ICD-10
Y308,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y308,"","","","",2,ICD-10
Y309,"Falling, jumping or pushed from a high place, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y309,"","","","",2,ICD-10
Y31,"Falling, lying or running before or into moving object, undetermined intent",mMHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,mMHPs,Y31,"","","","",2,ICD-10
