code	coding term	Indicator 1	Indicator 2	exclusion_domain	severity	scale	system
89922	Osteoporosis treatment not indicated	Osteoporosis	Osteoporosis	Bone disease			read
26292	Osteoporosis - falls prevention	Osteoporosis	Osteoporosis	Bone disease			read
15333	Kohler's disease - osteochondrosis of tarsal navicular	Osteoporosis	Osteoporosis	Bone disease			read
38903	Osteoporosis - dietary assessment	Osteoporosis	Osteoporosis	Bone disease			read
16307	Senile osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
16857	Osteoporosis localized to spine	Osteoporosis	Osteoporosis	Bone disease			read
101249	Osteopenia resolved	Osteoporosis	Osteoporosis	Bone disease			read
60949	Osteoporosis risk assessment defaulted	Osteoporosis	Osteoporosis	Bone disease			read
18825	[X]Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
25534	Osteoporosis monitoring check done	Osteoporosis	Osteoporosis	Bone disease			read
34920	Blount's disease - osteochondrosis of proximal tibia	Osteoporosis	Osteoporosis	Bone disease			read
34129	Osteoporosis treatment changed	Osteoporosis	Osteoporosis	Bone disease			read
24093	Drug-induced osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
98433	Osteoporosis - enhanced services administration	Osteoporosis	Osteoporosis	Bone disease			read
44386	Osteoporotic vertebral collapse	Osteoporosis	Osteoporosis	Bone disease			read
60618	Osteoporosis risk assessment refused	Osteoporosis	Osteoporosis	Bone disease			read
9691	Juvenile osteochondrosis NOS	Osteoporosis	Osteoporosis	Bone disease			read
21870	Hypophosphataemic rickets	Osteoporosis	Osteoporosis	Bone disease			read
45736	Collapse of cervical vertebra due to osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
102169	Exception reporting: osteoporosis quality indicators	Osteoporosis	Osteoporosis	Bone disease			read
61121	Osteoporosis monitoring telephone invitation	Osteoporosis	Osteoporosis	Bone disease			read
101386	Osteoporosis resolved	Osteoporosis	Osteoporosis	Bone disease			read
41755	[X]Other osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
93455	Osteoporosis monitoring second letter	Osteoporosis	Osteoporosis	Bone disease			read
36510	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			read
70233	Osteoporosis - treatment response	Osteoporosis	Osteoporosis	Bone disease			read
22689	Kohler's disease - osteochondrosis of primary patella centre	Osteoporosis	Osteoporosis	Bone disease			read
40428	Idiopathic osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
38395	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
27597	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
48962	Osteoporosis - no treatment	Osteoporosis	Osteoporosis	Bone disease			read
65163	Attends osteoporosis monitoring	Osteoporosis	Osteoporosis	Bone disease			read
45274	Refuses osteoporosis monitoring	Osteoporosis	Osteoporosis	Bone disease			read
22028	Hypophosphatasia rickets	Osteoporosis	Osteoporosis	Bone disease			read
25650	Osteoporosis due to corticosteroids	Osteoporosis	Osteoporosis	Bone disease			read
48042	Juvenile osteochondrosis of the foot	Osteoporosis	Osteoporosis	Bone disease			read
36644	Osteoporosis treatment stopped	Osteoporosis	Osteoporosis	Bone disease			read
38898	"Juvenile osteochondrosis of the leg, NOS"	Osteoporosis	Osteoporosis	Bone disease			read
48242	Juvenile osteochondrosis of the secondary patellar centre	Osteoporosis	Osteoporosis	Bone disease			read
33526	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
33586	Vitamin-D-resistant rickets	Osteoporosis	Osteoporosis	Bone disease			read
46894	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
102017	Osteoporosis monitoring third letter	Osteoporosis	Osteoporosis	Bone disease			read
110401	Osteoporosis medication compliance review	Osteoporosis	Osteoporosis	Bone disease			read
62702	Dissuse osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
52681	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			read
48772	Osteoporosis + pathological fracture cervical vertebrae	Osteoporosis	Osteoporosis	Bone disease			read
57301	[X]Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
58635	Osteogenesis imperfecta type I	Osteoporosis	Osteoporosis	Bone disease			read
51695	Iselin's disease - osteochondrosis of fifth metatarsal	Osteoporosis	Osteoporosis	Bone disease			read
24028	"Juvenile osteochondrosis of the leg, unspecified"	Osteoporosis	Osteoporosis	Bone disease			read
31367	Active rickets	Osteoporosis	Osteoporosis	Bone disease			read
60433	Osteoporosis in multiple myelomatosis	Osteoporosis	Osteoporosis	Bone disease			read
35026	Juvenile osteochondrosis of the primary patellar centre	Osteoporosis	Osteoporosis	Bone disease			read
60589	Juvenile osteochondrosis of the foot NOS	Osteoporosis	Osteoporosis	Bone disease			read
39334	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			read
66062	Renal rickets	Osteoporosis	Osteoporosis	Bone disease			read
69215	Fixation of epiphysis using Adams hip pin	Osteoporosis	Osteoporosis	Bone disease			read
70349	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
53933	Osteogenesis imperfecta NOS	Osteoporosis	Osteoporosis	Bone disease			read
105896	Vitamin D-dependent rickets	Osteoporosis	Osteoporosis	Bone disease			read
63567	"Juvenile osteochondrosis of the foot, unspecified"	Osteoporosis	Osteoporosis	Bone disease			read
31580	Osteoporosis in endocrine disorders	Osteoporosis	Osteoporosis	Bone disease			read
102730	[X]Osteoporosis in other disorders classified elsewhere	Osteoporosis	Osteoporosis	Bone disease			read
51014	Diaz's disease - osteochondrosis of astragalus	Osteoporosis	Osteoporosis	Bone disease			read
73900	[X]Collapsed vertebra in diseases classified elsewhere	Osteoporosis	Osteoporosis	Bone disease			read
54232	Localized osteoporosis - Lequesne	Osteoporosis	Osteoporosis	Bone disease			read
107983	X-linked hypophosphataemic rickets	Osteoporosis	Osteoporosis	Bone disease			read
93705	Minimal trauma fracture due to unspecified osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
61243	Late effect of rickets	Osteoporosis	Osteoporosis	Bone disease			read
97751	Osteogenesis imperfecta type IV	Osteoporosis	Osteoporosis	Bone disease			read
105290	Osteoporosis monitoring verbal invitation	Osteoporosis	Osteoporosis	Bone disease			read
106346	Autosomal dominant hypophosphataemic rickets	Osteoporosis	Osteoporosis	Bone disease			read
68019	Postsurgical malabsorption osteoporosis with path fracture	Osteoporosis	Osteoporosis	Bone disease			read
92887	Osteoporosis monitoring default	Osteoporosis	Osteoporosis	Bone disease			read
93655	Postsurgical malabsorption osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
96779	Osteoporosis monitoring deleted	Osteoporosis	Osteoporosis	Bone disease			read
98189	Osteoporosis - no treatment response	Osteoporosis	Osteoporosis	Bone disease			read
68680	Coeliac rickets	Osteoporosis	Osteoporosis	Bone disease			read
69436	Osteogenesis imperfecta type III	Osteoporosis	Osteoporosis	Bone disease			read
100102	"[X]Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			read
98662	Osteogenesis imperfecta type II	Osteoporosis	Osteoporosis	Bone disease			read
103017	Osteogenesis imperfecta - unclassifiable	Osteoporosis	Osteoporosis	Bone disease			read
108528	[X]Other specified juvenile osteochondrosis	Osteoporosis	Osteoporosis	Bone disease			read
E550	"Rickets, active"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
E643	Sequelae of rickets	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M42	Spinal osteochondrosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M420	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4200	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4201	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4202	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4203	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4204	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4205	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4206	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4207	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4208	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4209	Juvenile osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M421	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4210	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4211	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4212	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4213	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4214	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4215	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4216	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4217	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4218	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4219	Adult osteochondrosis of spine	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M429	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4290	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4291	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4292	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4293	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4294	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4295	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4296	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4297	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4298	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M4299	"Spinal osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M91	Juvenile osteochondrosis of hip and pelvis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M910	Juvenile osteochondrosis of pelvis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M911	Juvenile osteochondrosis of head of femur [Legg-Calv??-Perthes]	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M918	Other juvenile osteochondrosis of hip and pelvis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M9180	Other juvenile osteochondrosis of hip and pelvis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M919	"Juvenile osteochondrosis of hip and pelvis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M9190	"Juvenile osteochondrosis of hip and pelvis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M92	Other juvenile osteochondrosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M920	Juvenile osteochondrosis of humerus	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M921	Juvenile osteochondrosis of radius and ulna	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M922	Juvenile osteochondrosis of hand	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M923	Other juvenile osteochondrosis of upper limb	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M924	Juvenile osteochondrosis of patella	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M925	Juvenile osteochondrosis of tibia and fibula	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M926	Juvenile osteochondrosis of tarsus	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M927	Juvenile osteochondrosis of metatarsus	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M928	Other specified juvenile osteochondrosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M929	"Juvenile osteochondrosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			ICD-10
Q780	Osteogenesis imperfecta	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M80	Osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M800	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8000	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8001	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8002	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8003	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8004	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8005	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8006	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8007	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8008	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8009	Postmenopausal osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M801	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8010	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8011	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8012	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8013	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8014	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8015	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8016	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8017	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8018	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8019	Postoophorectomy osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M802	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8020	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8021	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8022	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8023	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8024	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8025	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8026	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8027	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8028	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8029	Osteoporosis of disuse with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M803	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8030	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8031	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8032	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8033	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8034	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8035	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8036	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8037	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8038	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8039	Postsurgical malabsorption osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M804	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8040	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8041	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8042	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8043	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8044	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8045	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8046	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8047	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8048	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8049	Drug-induced osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M805	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8050	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8051	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8052	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8053	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8054	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8055	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8056	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8057	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8058	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8059	Idiopathic osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M808	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8080	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8081	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8082	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8083	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8084	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8085	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8086	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8087	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8088	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8089	Other osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M809	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8090	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8091	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8092	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8093	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8094	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8095	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8096	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8097	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8098	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8099	Unspecified osteoporosis with pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M81	Osteoporosis without pathological fracture	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M810	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8100	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8101	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8102	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8103	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8104	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8105	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8106	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8107	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8108	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8109	Postmenopausal osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M811	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8110	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8111	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8112	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8113	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8114	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8115	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8116	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8117	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8118	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8119	Postoophorectomy osteoporosis	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M812	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8120	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8121	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8122	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8123	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8124	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8125	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
M8126	Osteoporosis of disuse	Osteoporosis	Osteoporosis	Bone disease			ICD-10
