medcode,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,readcode_gemscript,Severity,cut_off,scale,Reference_std,individual,system
261,[X]Assault,AFE11,Assault NOS IV GP,Mother assaulted NOS (GP record only),"Parental conflicts, disruptions and causes for concerns",AFE,U3...00,"","","","",2,read
25632,[V]Refugee health examination,AFE12,Refugee/asylum seeker,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV70516,"","","","",3,read
65503,Exam. of refugee,AFE12,Refugee/asylum seeker,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,69D8.00,"","","","",3,read
94906,Failed asylum seeker,AFE12,Refugee/asylum seeker,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13Zd.00,"","","","",3,read
44407,Illegal migrant,AFE12,Refugee/asylum seeker,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13D4.00,"","","","",3,read
9627,Asylum seeker,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13ZN.00,"","","",2,3,read
24403,Refugee,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13ZB.00,"","","","",3,read
47073,Family reunion immigrant,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,133Q.00,"","","","",3,read
2295,Housing problems,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EH.00,"","","",2,3,read
7201,Housing unsatifactory,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E..12,"","","","",3,read
26719,Housing NOS,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13FZ.00,"","","","",3,read
4436,Inadequate housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E..00,"","","","",3,read
31204,Letter written to housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R31.00,"","","","",3,read
19610,"Independent housing, lives alone",AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13FJ.00,"","","","",3,read
9060,Housing - awaiting action,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R3..11,"","","",2,3,read
36923,Housing report requested,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9Ec0.00,"","","",2,3,read
29358,Inappropriate housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EI.00,"","","","",3,read
21512,[V]Inadequate housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV60100,"","","","",3,read
31875,Housing report sent,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9Ec1.00,"","","",2,3,read
6618,[V]Problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV4E.00,"","","","",3,read
30856,Referral to housing department,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,8H7y.00,"","","","",3,read
9535,Housing assessment,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZQ42.00,"","","",2,3,read
41099,Awaiting housing/re-housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R3..00,"","","","",3,read
10829,Housing problem solved,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R37.00,"","","",2,3,read
14699,Poor housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E..11,"","","",2,3,read
29754,"[V]Housing, household and economic circumstances",AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV60.00,"","","",2,3,read
17302,Housing benefit,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13U3.00,"","","","",3,read
20767,Housing very unsatisfactory,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EZ.11,"","","",2,3,read
31442,Rehoused,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13FE.00,"","","","",3,read
48064,Inadequate housing NOS,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EZ.00,"","","",2,3,read
25696,Damp housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E4.11,"","","","",3,read
30965,Overcrowded in house,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E6.00,"","","",2,3,read
15809,Poverty,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13K3.00,"","","","",3,read
20290,"Deprivation of food, unspecified",AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,SN42000,"","","","",3,read
23459,Lack of heat in house,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E2.00,"","","","",3,read
31905,[V]Lack of heating,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV60111,"","","","",3,read
51495,Living in bedsitter,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13FC.00,"","","","",3,read
52386,Housing lack NOS,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13DZ.00,"","","","",3,read
63106,Housing report paid,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9Ec2.00,"","","","",3,read
44540,Lack of space in house,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13E1.00,"","","","",3,read
41419,[V]Low income,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV4E300,"","","",2,3,read
41131,On housing list,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R33.00,"","","","",3,read
103450,Housing assessment completed,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,389D.00,"","","","",3,read
29393,Early admission to school for social reasons,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13Z4A00,"","","","",3,read
31593,Awaiting housing improvement,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R34.00,"","","","",3,read
54539,House liable to vandalism,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EE.00,"","","",2,3,read
52779,[V]Other problems related/housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV4Ey00,"","","","",3,read
105362,Housing unsatisfactory,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EJ.00,"","","","",3,read
73121,On urgent housing list,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,9R32.00,"","","","",3,read
88290,[X]Other problems related to housing & econom circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZVu4800,"","","","",3,read
54735,Slum housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,13EC.11,"","","","",3,read
107863,[V]Extreme poverty,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV4E200,"","","","",3,read
23954,[V]Poverty NOS,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,ZV60212,"","","","",3,read
Z591,Inadequate housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z598,Other problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z599,"Problem related to housing and economic circumstances, unspecified",AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z59,Problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
T739,"Effect of deprivation, unspecified",AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,read
T73,Effects of other deprivation,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,read
Z595,Extreme poverty,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","",2,3,read
Z596,Low income,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,read
T738,Other effects of deprivation,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,read
2562,Homeless,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13D..11,"","","",2,3,read
9367,Housing lack,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13D..00,"","","",2,3,read
30807,Resident in sheltered accommodation,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13F4000,"","","","",3,read
26720,Living in lodgings,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13FB.00,"","","","",3,read
25452,Homeless single person,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13D2.00,"","","",2,3,read
31951,Living in hostel,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13F9.00,"","","",2,3,read
67112,Homeless - enhanced services administration,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,9k6..00,"","","","",3,read
28773,[V]Sheltered housing,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,ZV60700,"","","","",3,read
70848,Living in temporary housing,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13FW.00,"","","",2,3,read
34794,Living in sheltered accomodatn,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13F9.11,"","","","",3,read
32774,Homeless family,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13D1.00,"","","",2,3,read
11907,Evicted forcibly from house,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13FF200,"","","","",3,read
31661,[V]Lack of housing,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,ZV60000,"","","","",3,read
40048,Housing problems - eviction,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13FF.00,"","","","",3,read
38675,Awaiting housing NOS,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,9R3Z.00,"","","","",3,read
107393,Under care of homeless advocacy service,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,9Ngr.00,"","","","",3,read
96605,Homeless - enhanced service completed,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,9k60.00,"","","","",3,read
67187,Sleeping in night shelter,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13FM.00,"","","","",3,read
35040,Discharge to sheltered housing,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,ZLG5.00,"","","","",3,read
104962,Length of time homeless,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13D8.00,"","","","",3,read
29964,[X]Prolongd stay in wtless environmn occurrn street/highway,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,U1B2400,"","","","",3,read
Z590,Homelessness,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,"","","","","",3,ICD-10
97757,Sofa surfer - person of no fixed abode,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,13D7.00,"","","","",3,read
9677,CPA assessment,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,ZQ2..11,"","","","",3,read
10193,CPA care planning,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,Z921.11,"","","","",3,read
9390,CPA key worker,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,918B.00,"","","","",3,read
106715,Ongoing CPA review,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CG6111,"","","","",3,read
107094,Discharge CPA review,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CG6211,"","","","",3,read
107259,Initial CPA review,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CG6011,"","","","",3,read
98919,Mental health CPA crisis plan available,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CQ1.11,"","","","",3,read
103896,Mental health CPA contingency plan available,AFE14,CPA,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CM9.11,"","","","",3,read
28959,Vulnerable adult,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,133P.00,"","","","",3,read
28959,Vulnerable adult,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,133P.00,"","","",4,3,read
22455,Vulnerable family support,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8O4..00,"","","",2,3,read
100201,Vulnerable adult care plan,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CMB.00,"","","","",3,read
100201,Vulnerable adult care plan,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,8CMB.00,"","","",4,3,read
94667,Vulnerable family,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,13Iq.00,"","","",2,3,read
108285,No longer subject to vulnerable adult care plan,AFE14,Vulnerable family,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9Ngy.00,"","","","",3,read
66807,C2 - criminal inj.comp.board,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E7..11,"","","","",3,read
106700,Copy clinical record sent to Criminal Inj Compens Authority,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9lF..00,"","","","",3,read
17304,Criminal inj comp board cert,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E7..00,"","","","",2,read
22082,Crime inj comp cert completed,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E71.00,"","","","",2,read
36222,Crime inj comp cert sent off,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E72.00,"","","",2,2,read
35390,Crime inj comp cert paid,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E73.00,"","","","",2,read
48006,Crime inj comp cert NOS,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E7Z.00,"","","",2,2,read
54705,Crime inj comp cert unpaid,AFE14,Victim of crime,Vulnerable family NOS (incl. CPA),Vulnerable families,AFE,9E74.00,"","","","",2,read
12392,Parental support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,8O80.00,"","","","",2,read
6468,Social problem,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,13Z8.00,"","","","",3,read
30508,Family support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,Z9M1.00,"","","","",2,read
104320,Social support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,8O85.00,"","","","",3,read
30722,Social support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,Z9MM.00,"","","","",3,read
44123,Care and support circumstances and networks,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,ZW...00,"","","","",2,read
42852,Parental support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,Z9M2.00,"","","","",2,read
25832,Emotional and psychosocial support and advice,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,8O82.00,"","","","",3,read
104594,Family support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,8O84.00,"","","","",2,read
21664,Long term social support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,8O3..00,"","","",2,3,read
32204,Long term social support,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,Z9MN.00,"","","","",3,read
110291,Triple P - Positive Parenting Programme,AFE15,Family/parental support,Family/parental support referral,Vulnerable families,AFE,8Cp..00,"","","","",2,read
3077,Unfit for work,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,13JJ.00,"","","","",3,read
9063,[V]Issue of incapacity certificate,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,ZV68013,"","","","",3,read
102304,Capable of work on work capability assessment criteria,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,2JM..00,"","","","",3,read
93671,Subj cert auth issued Adults with Incapacity (Scot) Act 2000,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,13Im.00,"","","","",3,read
66025,Incapacity (Scotland) Act 2000 certificate issued,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,9DM0.00,"","","","",3,read
66016,Incapacity (Scotland) Act 2000 certificate,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,9DM..00,"","","","",3,read
46969,Unable to tidy house,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,ZM54C00,"","","","",2,read
51765,Does not tidy house,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,ZM54E00,"","","","",2,read
35280,Difficulty tidying house,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,ZM54F00,"","","","",2,read
56116,Does not dispose of household rubbish,AFE16,Parental incapacity increased concerns,"Mother lack capacity, increased concerns",Vulnerable families,AFE,ZM53900,"","","","",2,read
46464,Business ceased - financial,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13JK.11,"","","","",3,read
41368,Difficulty managing personal financial activities,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,ZN35.00,"","","",2,3,read
57099,Does not manage personal financial activities,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,ZN34.00,"","","","",3,read
48065,Family income supplement,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13U2.00,"","","","",3,read
64294,Financial circumstances change,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13K2.00,"","","","",3,read
70541,Low income benefits NOS,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13UZ.00,"","","","",3,read
40782,Needs help managing own financial affairs,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13KE.00,"","","","",3,read
45506,Unemployment benefit NOS,AFE17,Parental unemployment,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13RZ.00,"","","","",3,read
5863,Report to benefits agency,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,9EY3.00,"","","","",3,read
458,Financial problem,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13K1.00,"","","","",3,read
24679,"Benefits - other, specified",AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13OY.00,"","","","",2,read
22430,Provident assoc. benefit claim,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,9E8..00,"","","","",2,read
16203,Unemployment benefits,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13R..00,"","","","",2,read
31711,Low income benefits,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13U..00,"","","","",3,read
71349,Unemployment benefit,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13R1.00,"","","","",2,read
53232,At risk of financial/material mismanagement,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,13ZQ.00,"","","","",3,read
30631,Unable to manage personal financial activities,AFE17,Parental financial concerns,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,ZN32.00,"","","",2,3,read
