medcode,code_orginal,Cause,system
M0029,M0029,Other musculoskeletal disorders,ICD-10
M008,M008,Other musculoskeletal disorders,ICD-10
M0080,M0080,Other musculoskeletal disorders,ICD-10
M0081,M0081,Other musculoskeletal disorders,ICD-10
M0082,M0082,Other musculoskeletal disorders,ICD-10
M0083,M0083,Other musculoskeletal disorders,ICD-10
M0084,M0084,Other musculoskeletal disorders,ICD-10
M0085,M0085,Other musculoskeletal disorders,ICD-10
M0086,M0086,Other musculoskeletal disorders,ICD-10
M0087,M0087,Other musculoskeletal disorders,ICD-10
M0088,M0088,Other musculoskeletal disorders,ICD-10
M0089,M0089,Other musculoskeletal disorders,ICD-10
M009,M009,Other musculoskeletal disorders,ICD-10
M0090,M0090,Other musculoskeletal disorders,ICD-10
M0091,M0091,Other musculoskeletal disorders,ICD-10
M0092,M0092,Other musculoskeletal disorders,ICD-10
M0093,M0093,Other musculoskeletal disorders,ICD-10
M0094,M0094,Other musculoskeletal disorders,ICD-10
M0095,M0095,Other musculoskeletal disorders,ICD-10
M0096,M0096,Other musculoskeletal disorders,ICD-10
M0097,M0097,Other musculoskeletal disorders,ICD-10
M0098,M0098,Other musculoskeletal disorders,ICD-10
M0099,M0099,Other musculoskeletal disorders,ICD-10
M01,M01,Other musculoskeletal disorders,ICD-10
M010,M010,Other musculoskeletal disorders,ICD-10
M0100,M0100,Other musculoskeletal disorders,ICD-10
M0101,M0101,Other musculoskeletal disorders,ICD-10
M0102,M0102,Other musculoskeletal disorders,ICD-10
M0103,M0103,Other musculoskeletal disorders,ICD-10
M0104,M0104,Other musculoskeletal disorders,ICD-10
M0105,M0105,Other musculoskeletal disorders,ICD-10
M0106,M0106,Other musculoskeletal disorders,ICD-10
M0107,M0107,Other musculoskeletal disorders,ICD-10
M0108,M0108,Other musculoskeletal disorders,ICD-10
M0109,M0109,Other musculoskeletal disorders,ICD-10
M011,M011,Other musculoskeletal disorders,ICD-10
M0110,M0110,Other musculoskeletal disorders,ICD-10
M0111,M0111,Other musculoskeletal disorders,ICD-10
M0112,M0112,Other musculoskeletal disorders,ICD-10
M0113,M0113,Other musculoskeletal disorders,ICD-10
M0114,M0114,Other musculoskeletal disorders,ICD-10
M0115,M0115,Other musculoskeletal disorders,ICD-10
M0116,M0116,Other musculoskeletal disorders,ICD-10
M0117,M0117,Other musculoskeletal disorders,ICD-10
M0118,M0118,Other musculoskeletal disorders,ICD-10
M0119,M0119,Other musculoskeletal disorders,ICD-10
M012,M012,Other musculoskeletal disorders,ICD-10
M0120,M0120,Other musculoskeletal disorders,ICD-10
M0121,M0121,Other musculoskeletal disorders,ICD-10
M0122,M0122,Other musculoskeletal disorders,ICD-10
M0123,M0123,Other musculoskeletal disorders,ICD-10
M0124,M0124,Other musculoskeletal disorders,ICD-10
M0125,M0125,Other musculoskeletal disorders,ICD-10
M0126,M0126,Other musculoskeletal disorders,ICD-10
M0127,M0127,Other musculoskeletal disorders,ICD-10
M0128,M0128,Other musculoskeletal disorders,ICD-10
M0129,M0129,Other musculoskeletal disorders,ICD-10
M013,M013,Other musculoskeletal disorders,ICD-10
M0130,M0130,Other musculoskeletal disorders,ICD-10
M0131,M0131,Other musculoskeletal disorders,ICD-10
M0132,M0132,Other musculoskeletal disorders,ICD-10
M0133,M0133,Other musculoskeletal disorders,ICD-10
M0134,M0134,Other musculoskeletal disorders,ICD-10
M0135,M0135,Other musculoskeletal disorders,ICD-10
M0136,M0136,Other musculoskeletal disorders,ICD-10
M0137,M0137,Other musculoskeletal disorders,ICD-10
M0138,M0138,Other musculoskeletal disorders,ICD-10
M0139,M0139,Other musculoskeletal disorders,ICD-10
M014,M014,Other musculoskeletal disorders,ICD-10
M0140,M0140,Other musculoskeletal disorders,ICD-10
M0141,M0141,Other musculoskeletal disorders,ICD-10
M0142,M0142,Other musculoskeletal disorders,ICD-10
M0143,M0143,Other musculoskeletal disorders,ICD-10
M0144,M0144,Other musculoskeletal disorders,ICD-10
M0145,M0145,Other musculoskeletal disorders,ICD-10
M0146,M0146,Other musculoskeletal disorders,ICD-10
M0147,M0147,Other musculoskeletal disorders,ICD-10
M0148,M0148,Other musculoskeletal disorders,ICD-10
M0149,M0149,Other musculoskeletal disorders,ICD-10
M015,M015,Other musculoskeletal disorders,ICD-10
M0150,M0150,Other musculoskeletal disorders,ICD-10
M0151,M0151,Other musculoskeletal disorders,ICD-10
M0152,M0152,Other musculoskeletal disorders,ICD-10
M0153,M0153,Other musculoskeletal disorders,ICD-10
M0154,M0154,Other musculoskeletal disorders,ICD-10
M0155,M0155,Other musculoskeletal disorders,ICD-10
M0156,M0156,Other musculoskeletal disorders,ICD-10
M0157,M0157,Other musculoskeletal disorders,ICD-10
M0158,M0158,Other musculoskeletal disorders,ICD-10
M0159,M0159,Other musculoskeletal disorders,ICD-10
M016,M016,Other musculoskeletal disorders,ICD-10
M0160,M0160,Other musculoskeletal disorders,ICD-10
M0161,M0161,Other musculoskeletal disorders,ICD-10
M0162,M0162,Other musculoskeletal disorders,ICD-10
M0163,M0163,Other musculoskeletal disorders,ICD-10
M0164,M0164,Other musculoskeletal disorders,ICD-10
M0165,M0165,Other musculoskeletal disorders,ICD-10
M0166,M0166,Other musculoskeletal disorders,ICD-10
M0167,M0167,Other musculoskeletal disorders,ICD-10
M0168,M0168,Other musculoskeletal disorders,ICD-10
M0169,M0169,Other musculoskeletal disorders,ICD-10
M018,M018,Other musculoskeletal disorders,ICD-10
M0180,M0180,Other musculoskeletal disorders,ICD-10
M0181,M0181,Other musculoskeletal disorders,ICD-10
M0182,M0182,Other musculoskeletal disorders,ICD-10
M0183,M0183,Other musculoskeletal disorders,ICD-10
M0184,M0184,Other musculoskeletal disorders,ICD-10
M0185,M0185,Other musculoskeletal disorders,ICD-10
M0186,M0186,Other musculoskeletal disorders,ICD-10
M0187,M0187,Other musculoskeletal disorders,ICD-10
M0188,M0188,Other musculoskeletal disorders,ICD-10
M0189,M0189,Other musculoskeletal disorders,ICD-10
M02,M02,Other musculoskeletal disorders,ICD-10
M020,M020,Other musculoskeletal disorders,ICD-10
M0200,M0200,Other musculoskeletal disorders,ICD-10
M0201,M0201,Other musculoskeletal disorders,ICD-10
M0202,M0202,Other musculoskeletal disorders,ICD-10
M0203,M0203,Other musculoskeletal disorders,ICD-10
M0204,M0204,Other musculoskeletal disorders,ICD-10
M0205,M0205,Other musculoskeletal disorders,ICD-10
M0206,M0206,Other musculoskeletal disorders,ICD-10
M0207,M0207,Other musculoskeletal disorders,ICD-10
M0208,M0208,Other musculoskeletal disorders,ICD-10
M0209,M0209,Other musculoskeletal disorders,ICD-10
M021,M021,Other musculoskeletal disorders,ICD-10
M0210,M0210,Other musculoskeletal disorders,ICD-10
M0211,M0211,Other musculoskeletal disorders,ICD-10
M0212,M0212,Other musculoskeletal disorders,ICD-10
M0213,M0213,Other musculoskeletal disorders,ICD-10
M0214,M0214,Other musculoskeletal disorders,ICD-10
M0215,M0215,Other musculoskeletal disorders,ICD-10
M0216,M0216,Other musculoskeletal disorders,ICD-10
M0217,M0217,Other musculoskeletal disorders,ICD-10
M0218,M0218,Other musculoskeletal disorders,ICD-10
M0219,M0219,Other musculoskeletal disorders,ICD-10
M022,M022,Other musculoskeletal disorders,ICD-10
M0220,M0220,Other musculoskeletal disorders,ICD-10
M0221,M0221,Other musculoskeletal disorders,ICD-10
M0222,M0222,Other musculoskeletal disorders,ICD-10
M0223,M0223,Other musculoskeletal disorders,ICD-10
M0224,M0224,Other musculoskeletal disorders,ICD-10
M0225,M0225,Other musculoskeletal disorders,ICD-10
M0226,M0226,Other musculoskeletal disorders,ICD-10
M0227,M0227,Other musculoskeletal disorders,ICD-10
M0228,M0228,Other musculoskeletal disorders,ICD-10
M0229,M0229,Other musculoskeletal disorders,ICD-10
M023,M023,Other musculoskeletal disorders,ICD-10
M0230,M0230,Other musculoskeletal disorders,ICD-10
M0231,M0231,Other musculoskeletal disorders,ICD-10
M0232,M0232,Other musculoskeletal disorders,ICD-10
M0233,M0233,Other musculoskeletal disorders,ICD-10
M0234,M0234,Other musculoskeletal disorders,ICD-10
M0235,M0235,Other musculoskeletal disorders,ICD-10
M0236,M0236,Other musculoskeletal disorders,ICD-10
M0237,M0237,Other musculoskeletal disorders,ICD-10
M0238,M0238,Other musculoskeletal disorders,ICD-10
M0239,M0239,Other musculoskeletal disorders,ICD-10
M028,M028,Other musculoskeletal disorders,ICD-10
M0280,M0280,Other musculoskeletal disorders,ICD-10
M0281,M0281,Other musculoskeletal disorders,ICD-10
M0282,M0282,Other musculoskeletal disorders,ICD-10
M0283,M0283,Other musculoskeletal disorders,ICD-10
M0284,M0284,Other musculoskeletal disorders,ICD-10
M0285,M0285,Other musculoskeletal disorders,ICD-10
M0286,M0286,Other musculoskeletal disorders,ICD-10
M0287,M0287,Other musculoskeletal disorders,ICD-10
M0288,M0288,Other musculoskeletal disorders,ICD-10
M0289,M0289,Other musculoskeletal disorders,ICD-10
M029,M029,Other musculoskeletal disorders,ICD-10
M0290,M0290,Other musculoskeletal disorders,ICD-10
M0291,M0291,Other musculoskeletal disorders,ICD-10
M0292,M0292,Other musculoskeletal disorders,ICD-10
M0293,M0293,Other musculoskeletal disorders,ICD-10
M0294,M0294,Other musculoskeletal disorders,ICD-10
M0295,M0295,Other musculoskeletal disorders,ICD-10
M0296,M0296,Other musculoskeletal disorders,ICD-10
M0297,M0297,Other musculoskeletal disorders,ICD-10
M0298,M0298,Other musculoskeletal disorders,ICD-10
M0299,M0299,Other musculoskeletal disorders,ICD-10
M03,M03,Other musculoskeletal disorders,ICD-10
M030,M030,Other musculoskeletal disorders,ICD-10
M0300,M0300,Other musculoskeletal disorders,ICD-10
M0301,M0301,Other musculoskeletal disorders,ICD-10
M0302,M0302,Other musculoskeletal disorders,ICD-10
M0303,M0303,Other musculoskeletal disorders,ICD-10
M0304,M0304,Other musculoskeletal disorders,ICD-10
M0305,M0305,Other musculoskeletal disorders,ICD-10
M0306,M0306,Other musculoskeletal disorders,ICD-10
M0307,M0307,Other musculoskeletal disorders,ICD-10
M0308,M0308,Other musculoskeletal disorders,ICD-10
M0309,M0309,Other musculoskeletal disorders,ICD-10
M031,M031,Other musculoskeletal disorders,ICD-10
M0310,M0310,Other musculoskeletal disorders,ICD-10
M0311,M0311,Other musculoskeletal disorders,ICD-10
M0312,M0312,Other musculoskeletal disorders,ICD-10
M0313,M0313,Other musculoskeletal disorders,ICD-10
M0314,M0314,Other musculoskeletal disorders,ICD-10
M0315,M0315,Other musculoskeletal disorders,ICD-10
M0316,M0316,Other musculoskeletal disorders,ICD-10
M0317,M0317,Other musculoskeletal disorders,ICD-10
M0318,M0318,Other musculoskeletal disorders,ICD-10
M0319,M0319,Other musculoskeletal disorders,ICD-10
M032,M032,Other musculoskeletal disorders,ICD-10
M0320,M0320,Other musculoskeletal disorders,ICD-10
M0321,M0321,Other musculoskeletal disorders,ICD-10
M0322,M0322,Other musculoskeletal disorders,ICD-10
M0323,M0323,Other musculoskeletal disorders,ICD-10
M0324,M0324,Other musculoskeletal disorders,ICD-10
M0325,M0325,Other musculoskeletal disorders,ICD-10
M0326,M0326,Other musculoskeletal disorders,ICD-10
M0327,M0327,Other musculoskeletal disorders,ICD-10
M0328,M0328,Other musculoskeletal disorders,ICD-10
M0329,M0329,Other musculoskeletal disorders,ICD-10
M036,M036,Other musculoskeletal disorders,ICD-10
M0360,M0360,Other musculoskeletal disorders,ICD-10
M0361,M0361,Other musculoskeletal disorders,ICD-10
M0362,M0362,Other musculoskeletal disorders,ICD-10
M0363,M0363,Other musculoskeletal disorders,ICD-10
M0364,M0364,Other musculoskeletal disorders,ICD-10
M0365,M0365,Other musculoskeletal disorders,ICD-10
M0366,M0366,Other musculoskeletal disorders,ICD-10
M0367,M0367,Other musculoskeletal disorders,ICD-10
M0368,M0368,Other musculoskeletal disorders,ICD-10
M0369,M0369,Other musculoskeletal disorders,ICD-10
M06,M06,Other musculoskeletal disorders,ICD-10
M060,M060,Other musculoskeletal disorders,ICD-10
M0600,M0600,Other musculoskeletal disorders,ICD-10
M0601,M0601,Other musculoskeletal disorders,ICD-10
M0602,M0602,Other musculoskeletal disorders,ICD-10
M0603,M0603,Other musculoskeletal disorders,ICD-10
M0604,M0604,Other musculoskeletal disorders,ICD-10
M0605,M0605,Other musculoskeletal disorders,ICD-10
M0606,M0606,Other musculoskeletal disorders,ICD-10
M0607,M0607,Other musculoskeletal disorders,ICD-10
M0608,M0608,Other musculoskeletal disorders,ICD-10
M0609,M0609,Other musculoskeletal disorders,ICD-10
M061,M061,Other musculoskeletal disorders,ICD-10
M0610,M0610,Other musculoskeletal disorders,ICD-10
M0611,M0611,Other musculoskeletal disorders,ICD-10
M0612,M0612,Other musculoskeletal disorders,ICD-10
M0613,M0613,Other musculoskeletal disorders,ICD-10
M0614,M0614,Other musculoskeletal disorders,ICD-10
M0615,M0615,Other musculoskeletal disorders,ICD-10
M0616,M0616,Other musculoskeletal disorders,ICD-10
M0617,M0617,Other musculoskeletal disorders,ICD-10
M0618,M0618,Other musculoskeletal disorders,ICD-10
M0619,M0619,Other musculoskeletal disorders,ICD-10
M062,M062,Other musculoskeletal disorders,ICD-10
M0620,M0620,Other musculoskeletal disorders,ICD-10
M0621,M0621,Other musculoskeletal disorders,ICD-10
M0622,M0622,Other musculoskeletal disorders,ICD-10
M0623,M0623,Other musculoskeletal disorders,ICD-10
M0624,M0624,Other musculoskeletal disorders,ICD-10
M0625,M0625,Other musculoskeletal disorders,ICD-10
M0626,M0626,Other musculoskeletal disorders,ICD-10
M0627,M0627,Other musculoskeletal disorders,ICD-10
M0628,M0628,Other musculoskeletal disorders,ICD-10
M0629,M0629,Other musculoskeletal disorders,ICD-10
M063,M063,Other musculoskeletal disorders,ICD-10
M0630,M0630,Other musculoskeletal disorders,ICD-10
M0631,M0631,Other musculoskeletal disorders,ICD-10
M0632,M0632,Other musculoskeletal disorders,ICD-10
M0633,M0633,Other musculoskeletal disorders,ICD-10
M0634,M0634,Other musculoskeletal disorders,ICD-10
M0635,M0635,Other musculoskeletal disorders,ICD-10
M0636,M0636,Other musculoskeletal disorders,ICD-10
M0637,M0637,Other musculoskeletal disorders,ICD-10
M0638,M0638,Other musculoskeletal disorders,ICD-10
M0639,M0639,Other musculoskeletal disorders,ICD-10
M064,M064,Other musculoskeletal disorders,ICD-10
M0640,M0640,Other musculoskeletal disorders,ICD-10
M0641,M0641,Other musculoskeletal disorders,ICD-10
M0642,M0642,Other musculoskeletal disorders,ICD-10
M0643,M0643,Other musculoskeletal disorders,ICD-10
M0644,M0644,Other musculoskeletal disorders,ICD-10
M0645,M0645,Other musculoskeletal disorders,ICD-10
M0646,M0646,Other musculoskeletal disorders,ICD-10
M0647,M0647,Other musculoskeletal disorders,ICD-10
M0648,M0648,Other musculoskeletal disorders,ICD-10
M0649,M0649,Other musculoskeletal disorders,ICD-10
M068,M068,Other musculoskeletal disorders,ICD-10
M0680,M0680,Other musculoskeletal disorders,ICD-10
M0681,M0681,Other musculoskeletal disorders,ICD-10
M0682,M0682,Other musculoskeletal disorders,ICD-10
M0683,M0683,Other musculoskeletal disorders,ICD-10
M0684,M0684,Other musculoskeletal disorders,ICD-10
M0685,M0685,Other musculoskeletal disorders,ICD-10
M0686,M0686,Other musculoskeletal disorders,ICD-10
M0687,M0687,Other musculoskeletal disorders,ICD-10
M0688,M0688,Other musculoskeletal disorders,ICD-10
M0689,M0689,Other musculoskeletal disorders,ICD-10
M069,M069,Other musculoskeletal disorders,ICD-10
M0690,M0690,Other musculoskeletal disorders,ICD-10
M0691,M0691,Other musculoskeletal disorders,ICD-10
M0692,M0692,Other musculoskeletal disorders,ICD-10
M0693,M0693,Other musculoskeletal disorders,ICD-10
M0694,M0694,Other musculoskeletal disorders,ICD-10
M0695,M0695,Other musculoskeletal disorders,ICD-10
M0696,M0696,Other musculoskeletal disorders,ICD-10
M0697,M0697,Other musculoskeletal disorders,ICD-10
M0698,M0698,Other musculoskeletal disorders,ICD-10
M0699,M0699,Other musculoskeletal disorders,ICD-10
M07,M07,Other musculoskeletal disorders,ICD-10
M070,M070,Other musculoskeletal disorders,ICD-10
M0700,M0700,Other musculoskeletal disorders,ICD-10
M0704,M0704,Other musculoskeletal disorders,ICD-10
M0707,M0707,Other musculoskeletal disorders,ICD-10
M0709,M0709,Other musculoskeletal disorders,ICD-10
M071,M071,Other musculoskeletal disorders,ICD-10
M0710,M0710,Other musculoskeletal disorders,ICD-10
M0711,M0711,Other musculoskeletal disorders,ICD-10
M0712,M0712,Other musculoskeletal disorders,ICD-10
M0713,M0713,Other musculoskeletal disorders,ICD-10
M0714,M0714,Other musculoskeletal disorders,ICD-10
M0715,M0715,Other musculoskeletal disorders,ICD-10
M0716,M0716,Other musculoskeletal disorders,ICD-10
M0717,M0717,Other musculoskeletal disorders,ICD-10
M0718,M0718,Other musculoskeletal disorders,ICD-10
M0719,M0719,Other musculoskeletal disorders,ICD-10
M072,M072,Other musculoskeletal disorders,ICD-10
M0720,M0720,Other musculoskeletal disorders,ICD-10
M0721,M0721,Other musculoskeletal disorders,ICD-10
M0722,M0722,Other musculoskeletal disorders,ICD-10
M0723,M0723,Other musculoskeletal disorders,ICD-10
M0724,M0724,Other musculoskeletal disorders,ICD-10
M0725,M0725,Other musculoskeletal disorders,ICD-10
M0726,M0726,Other musculoskeletal disorders,ICD-10
M0727,M0727,Other musculoskeletal disorders,ICD-10
M0728,M0728,Other musculoskeletal disorders,ICD-10
M0729,M0729,Other musculoskeletal disorders,ICD-10
M073,M073,Other musculoskeletal disorders,ICD-10
M0730,M0730,Other musculoskeletal disorders,ICD-10
M0731,M0731,Other musculoskeletal disorders,ICD-10
M0732,M0732,Other musculoskeletal disorders,ICD-10
M0733,M0733,Other musculoskeletal disorders,ICD-10
M0734,M0734,Other musculoskeletal disorders,ICD-10
M0735,M0735,Other musculoskeletal disorders,ICD-10
M0736,M0736,Other musculoskeletal disorders,ICD-10
M0737,M0737,Other musculoskeletal disorders,ICD-10
M0738,M0738,Other musculoskeletal disorders,ICD-10
M0739,M0739,Other musculoskeletal disorders,ICD-10
M074,M074,Other musculoskeletal disorders,ICD-10
M0740,M0740,Other musculoskeletal disorders,ICD-10
M0741,M0741,Other musculoskeletal disorders,ICD-10
M0742,M0742,Other musculoskeletal disorders,ICD-10
M0743,M0743,Other musculoskeletal disorders,ICD-10
M0744,M0744,Other musculoskeletal disorders,ICD-10
M0745,M0745,Other musculoskeletal disorders,ICD-10
M0746,M0746,Other musculoskeletal disorders,ICD-10
M0747,M0747,Other musculoskeletal disorders,ICD-10
M0748,M0748,Other musculoskeletal disorders,ICD-10
M0749,M0749,Other musculoskeletal disorders,ICD-10
M075,M075,Other musculoskeletal disorders,ICD-10
M0750,M0750,Other musculoskeletal disorders,ICD-10
M0751,M0751,Other musculoskeletal disorders,ICD-10
M0752,M0752,Other musculoskeletal disorders,ICD-10
M0753,M0753,Other musculoskeletal disorders,ICD-10
M0754,M0754,Other musculoskeletal disorders,ICD-10
M0755,M0755,Other musculoskeletal disorders,ICD-10
M0756,M0756,Other musculoskeletal disorders,ICD-10
M0757,M0757,Other musculoskeletal disorders,ICD-10
M0758,M0758,Other musculoskeletal disorders,ICD-10
M0759,M0759,Other musculoskeletal disorders,ICD-10
M076,M076,Other musculoskeletal disorders,ICD-10
M0760,M0760,Other musculoskeletal disorders,ICD-10
M0761,M0761,Other musculoskeletal disorders,ICD-10
M0762,M0762,Other musculoskeletal disorders,ICD-10
M0763,M0763,Other musculoskeletal disorders,ICD-10
M0764,M0764,Other musculoskeletal disorders,ICD-10
M0765,M0765,Other musculoskeletal disorders,ICD-10
M0766,M0766,Other musculoskeletal disorders,ICD-10
M0767,M0767,Other musculoskeletal disorders,ICD-10
M0768,M0768,Other musculoskeletal disorders,ICD-10
M0769,M0769,Other musculoskeletal disorders,ICD-10
M08,M08,Other musculoskeletal disorders,ICD-10
M080,M080,Other musculoskeletal disorders,ICD-10
M0800,M0800,Other musculoskeletal disorders,ICD-10
M0801,M0801,Other musculoskeletal disorders,ICD-10
M0802,M0802,Other musculoskeletal disorders,ICD-10
M0803,M0803,Other musculoskeletal disorders,ICD-10
M0804,M0804,Other musculoskeletal disorders,ICD-10
M0805,M0805,Other musculoskeletal disorders,ICD-10
M0806,M0806,Other musculoskeletal disorders,ICD-10
M0807,M0807,Other musculoskeletal disorders,ICD-10
M0808,M0808,Other musculoskeletal disorders,ICD-10
M0809,M0809,Other musculoskeletal disorders,ICD-10
M081,M081,Other musculoskeletal disorders,ICD-10
M0810,M0810,Other musculoskeletal disorders,ICD-10
M0811,M0811,Other musculoskeletal disorders,ICD-10
M0812,M0812,Other musculoskeletal disorders,ICD-10
M0813,M0813,Other musculoskeletal disorders,ICD-10
M0814,M0814,Other musculoskeletal disorders,ICD-10
M0815,M0815,Other musculoskeletal disorders,ICD-10
M0816,M0816,Other musculoskeletal disorders,ICD-10
M0817,M0817,Other musculoskeletal disorders,ICD-10
M0818,M0818,Other musculoskeletal disorders,ICD-10
M0819,M0819,Other musculoskeletal disorders,ICD-10
M082,M082,Other musculoskeletal disorders,ICD-10
M0820,M0820,Other musculoskeletal disorders,ICD-10
M0821,M0821,Other musculoskeletal disorders,ICD-10
M0822,M0822,Other musculoskeletal disorders,ICD-10
M0823,M0823,Other musculoskeletal disorders,ICD-10
M0824,M0824,Other musculoskeletal disorders,ICD-10
M0825,M0825,Other musculoskeletal disorders,ICD-10
M0826,M0826,Other musculoskeletal disorders,ICD-10
M0827,M0827,Other musculoskeletal disorders,ICD-10
M0828,M0828,Other musculoskeletal disorders,ICD-10
M0829,M0829,Other musculoskeletal disorders,ICD-10
M083,M083,Other musculoskeletal disorders,ICD-10
M0830,M0830,Other musculoskeletal disorders,ICD-10
M0831,M0831,Other musculoskeletal disorders,ICD-10
M0832,M0832,Other musculoskeletal disorders,ICD-10
M0833,M0833,Other musculoskeletal disorders,ICD-10
M0834,M0834,Other musculoskeletal disorders,ICD-10
M0835,M0835,Other musculoskeletal disorders,ICD-10
M0836,M0836,Other musculoskeletal disorders,ICD-10
M0837,M0837,Other musculoskeletal disorders,ICD-10
M0838,M0838,Other musculoskeletal disorders,ICD-10
M0839,M0839,Other musculoskeletal disorders,ICD-10
M084,M084,Other musculoskeletal disorders,ICD-10
M0840,M0840,Other musculoskeletal disorders,ICD-10
M0841,M0841,Other musculoskeletal disorders,ICD-10
M0842,M0842,Other musculoskeletal disorders,ICD-10
M0843,M0843,Other musculoskeletal disorders,ICD-10
M0844,M0844,Other musculoskeletal disorders,ICD-10
M0845,M0845,Other musculoskeletal disorders,ICD-10
M0846,M0846,Other musculoskeletal disorders,ICD-10
M0847,M0847,Other musculoskeletal disorders,ICD-10
M0848,M0848,Other musculoskeletal disorders,ICD-10
M0849,M0849,Other musculoskeletal disorders,ICD-10
M088,M088,Other musculoskeletal disorders,ICD-10
M0880,M0880,Other musculoskeletal disorders,ICD-10
M0881,M0881,Other musculoskeletal disorders,ICD-10
M0882,M0882,Other musculoskeletal disorders,ICD-10
M0883,M0883,Other musculoskeletal disorders,ICD-10
M0884,M0884,Other musculoskeletal disorders,ICD-10
M0885,M0885,Other musculoskeletal disorders,ICD-10
M0886,M0886,Other musculoskeletal disorders,ICD-10
M0887,M0887,Other musculoskeletal disorders,ICD-10
M0888,M0888,Other musculoskeletal disorders,ICD-10
M0889,M0889,Other musculoskeletal disorders,ICD-10
M089,M089,Other musculoskeletal disorders,ICD-10
M0890,M0890,Other musculoskeletal disorders,ICD-10
M0891,M0891,Other musculoskeletal disorders,ICD-10
M0892,M0892,Other musculoskeletal disorders,ICD-10
M0893,M0893,Other musculoskeletal disorders,ICD-10
M0894,M0894,Other musculoskeletal disorders,ICD-10
M0895,M0895,Other musculoskeletal disorders,ICD-10
M0896,M0896,Other musculoskeletal disorders,ICD-10
M0897,M0897,Other musculoskeletal disorders,ICD-10
M0898,M0898,Other musculoskeletal disorders,ICD-10
M0899,M0899,Other musculoskeletal disorders,ICD-10
M09,M09,Other musculoskeletal disorders,ICD-10
M090,M090,Other musculoskeletal disorders,ICD-10
M0900,M0900,Other musculoskeletal disorders,ICD-10
M0901,M0901,Other musculoskeletal disorders,ICD-10
M0902,M0902,Other musculoskeletal disorders,ICD-10
