Code_ready_CPRDGOLD_HES_ONS,Coding_term,ACE_indicator_code,ACE_indicator_specific,ACE_indicator_1,ACE_indicator_2,ACE_domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
Z503,Drug rehabilitation,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Z503,Severe,"","","",2,ICD-10
Z722,Drug use,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Z722,Severe,"","","",2,ICD-10
P044,Fetus and newborn affected by maternal use of drugs of addiction,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,P044,Severe,"","","",2,ICD-10
R782,Finding of cocaine in blood,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,R782,Severe,"","","",2,ICD-10
R783,Finding of hallucinogen in blood,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,R783,Severe,"","","",2,ICD-10
R781,Finding of opiate drug in blood,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,R781,Severe,"","","",2,ICD-10
R784,Finding of other drugs of addictive potential in blood,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,R784,Severe,"","","",2,ICD-10
R785,Finding of psychotropic drug in blood,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,R785,Severe,"","","",2,ICD-10
X610,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X610,Severe,"","","",2,ICD-10
X620,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X620,Severe,"","","",2,ICD-10
X640,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X640,Severe,"","","",2,ICD-10
X630,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X630,Severe,"","","",2,ICD-10
O355,Maternal care for (suspected) damage to fetus by drugs,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,O355,Severe,"","","",2,ICD-10
F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F19,Severe,"","","",2,ICD-10
F190,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F190,Severe,"","","",2,ICD-10
F191,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F191,Severe,"","","",2,ICD-10
F192,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F192,Severe,"","","",2,ICD-10
F193,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F193,Severe,"","","",2,ICD-10
F194,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F194,Severe,"","","",2,ICD-10
F195,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F195,Severe,"","","",2,ICD-10
F196,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F196,Severe,"","","",2,ICD-10
F197,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F197,Severe,"","","",2,ICD-10
F198,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F198,Severe,"","","",2,ICD-10
F199,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F199,Severe,"","","",2,ICD-10
F12,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F12,Severe,"","","",2,ICD-10
F120,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F120,Severe,"","","",2,ICD-10
F121,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F121,Severe,"","","",2,ICD-10
F122,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F122,Severe,"","","",2,ICD-10
F123,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F123,Severe,"","","",2,ICD-10
F124,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F124,Severe,"","","",2,ICD-10
F125,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F125,Severe,"","","",2,ICD-10
F126,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F126,Severe,"","","",2,ICD-10
F127,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F127,Severe,"","","",2,ICD-10
F128,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F128,Severe,"","","",2,ICD-10
F129,Mental and behavioural disorders due to use of cannabinoids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F129,Severe,"","","",2,ICD-10
F14,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F14,Severe,"","","",2,ICD-10
F140,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F140,Severe,"","","",2,ICD-10
F141,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F141,Severe,"","","",2,ICD-10
F142,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F142,Severe,"","","",2,ICD-10
F143,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F143,Severe,"","","",2,ICD-10
F144,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F144,Severe,"","","",2,ICD-10
F145,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F145,Severe,"","","",2,ICD-10
F146,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F146,Severe,"","","",2,ICD-10
F147,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F147,Severe,"","","",2,ICD-10
F148,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F148,Severe,"","","",2,ICD-10
F149,Mental and behavioural disorders due to use of cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F149,Severe,"","","",2,ICD-10
F16,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F16,Severe,"","","",2,ICD-10
F160,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F160,Severe,"","","",2,ICD-10
F161,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F161,Severe,"","","",2,ICD-10
F162,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F162,Severe,"","","",2,ICD-10
F163,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F163,Severe,"","","",2,ICD-10
F164,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F164,Severe,"","","",2,ICD-10
F165,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F165,Severe,"","","",2,ICD-10
F166,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F166,Severe,"","","",2,ICD-10
F167,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F167,Severe,"","","",2,ICD-10
F168,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F168,Severe,"","","",2,ICD-10
F169,Mental and behavioural disorders due to use of hallucinogens,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F169,Severe,"","","",2,ICD-10
F11,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F11,Severe,"","","",2,ICD-10
F110,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F110,Severe,"","","",2,ICD-10
F111,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F111,Severe,"","","",2,ICD-10
F112,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F112,Severe,"","","",2,ICD-10
F113,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F113,Severe,"","","",2,ICD-10
F114,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F114,Severe,"","","",2,ICD-10
F115,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F115,Severe,"","","",2,ICD-10
F116,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F116,Severe,"","","",2,ICD-10
F117,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F117,Severe,"","","",2,ICD-10
F118,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F118,Severe,"","","",2,ICD-10
F119,Mental and behavioural disorders due to use of opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F119,Severe,"","","",2,ICD-10
F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F15,Severe,"","","",2,ICD-10
F150,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F150,Severe,"","","",2,ICD-10
F151,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F151,Severe,"","","",2,ICD-10
F152,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F152,Severe,"","","",2,ICD-10
F153,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F153,Severe,"","","",2,ICD-10
F154,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F154,Severe,"","","",2,ICD-10
F155,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F155,Severe,"","","",2,ICD-10
F156,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F156,Severe,"","","",2,ICD-10
F157,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F157,Severe,"","","",2,ICD-10
F158,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F158,Severe,"","","",2,ICD-10
F159,"Mental and behavioural disorders due to use of other stimulants, including caffeine",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F159,Severe,"","","",2,ICD-10
F13,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F13,Severe,"","","",2,ICD-10
F130,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F130,Severe,"","","",2,ICD-10
F131,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F131,Severe,"","","",2,ICD-10
F132,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F132,Severe,"","","",2,ICD-10
F133,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F133,Severe,"","","",2,ICD-10
F134,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F134,Severe,"","","",2,ICD-10
F135,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F135,Severe,"","","",2,ICD-10
F136,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F136,Severe,"","","",2,ICD-10
F137,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F137,Severe,"","","",2,ICD-10
F138,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F138,Severe,"","","",2,ICD-10
F139,Mental and behavioural disorders due to use of sedatives or hypnotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F139,Severe,"","","",2,ICD-10
F170,Mental and behavioural disorders due to use of tobacco,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F170,Severe,"","","",2,ICD-10
F175,Mental and behavioural disorders due to use of tobacco,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F175,Severe,"","","",2,ICD-10
F176,Mental and behavioural disorders due to use of tobacco,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F176,Severe,"","","",2,ICD-10
F172,Mental and behavioural disorders due to use of tobacco,MSM1,Mental and behavioural disorders due to use of tobacco (dependence syndrome),"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F172,Severe,"","","",2,ICD-10
F18,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F18,Severe,"","","",2,ICD-10
F180,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F180,Severe,"","","",2,ICD-10
F181,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F181,Severe,"","","",2,ICD-10
F182,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F182,Severe,"","","",2,ICD-10
F183,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F183,Severe,"","","",2,ICD-10
F184,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F184,Severe,"","","",2,ICD-10
F185,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F185,Severe,"","","",2,ICD-10
F186,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F186,Severe,"","","",2,ICD-10
F187,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F187,Severe,"","","",2,ICD-10
F188,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F188,Severe,"","","",2,ICD-10
F189,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F189,Severe,"","","",2,ICD-10
P961,Neonatal withdrawal symptoms from maternal use of drugs of addiction,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,P961,Severe,"","","",2,ICD-10
Y110,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y110,Severe,"","","",2,ICD-10
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y12,Severe,"","","",2,ICD-10
Y120,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y120,Severe,"","","",2,ICD-10
Y121,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y121,Severe,"","","",2,ICD-10
Y122,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y122,Severe,"","","",2,ICD-10
Y123,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y123,Severe,"","","",2,ICD-10
Y124,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y124,Severe,"","","",2,ICD-10
Y125,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y125,Severe,"","","",2,ICD-10
Y126,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y126,Severe,"","","",2,ICD-10
Y127,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y127,Severe,"","","",2,ICD-10
Y128,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y128,Severe,"","","",2,ICD-10
Y129,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y129,Severe,"","","",2,ICD-10
Y140,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y140,Severe,"","","",2,ICD-10
Y130,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y130,Severe,"","","",2,ICD-10
T40,Poisoning by narcotics and psychodysleptics [hallucinogens],MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T40,Severe,"","","",2,ICD-10
T407,Poisoning: Cannabis (derivatives),MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T407,Severe,"","","",2,ICD-10
T405,Poisoning: Cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T405,Severe,"","","",2,ICD-10
T401,Poisoning: Heroin,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T401,Severe,"","","",2,ICD-10
T408,Poisoning: Lysergide [LSD],MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T408,Severe,"","","",2,ICD-10
T403,Poisoning: Methadone,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T403,Severe,"","","",2,ICD-10
T400,Poisoning: Opium,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T400,Severe,"","","",2,ICD-10
T406,Poisoning: Other and unspecified narcotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T406,Severe,"","","",2,ICD-10
T409,Poisoning: Other and unspecified psychodysleptics [hallucinogens],MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T409,Severe,"","","",2,ICD-10
T402,Poisoning: Other opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T402,Severe,"","",2,2,ICD-10
T436,Poisoning: Psychostimulants with abuse potential,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T436,Severe,"","",2,2,ICD-10
E8500,"",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,E8500,Severe,"","","",2,ICD-9
E9350,"",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,E9350,Severe,"","","",2,ICD-9
