Code_ready_CPRDGOLD_HES_ONS,Coding_term,ACE_indicator_code,ACE_indicator_specific,ACE_indicator_1,ACE_indicator_2,ACE_domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
X53,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X53,"","","","",1,ICD-10
X530,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X530,"","","","",1,ICD-10
X531,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X531,"","","","",1,ICD-10
X532,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X532,"","","","",1,ICD-10
X533,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X533,"","","","",1,ICD-10
X534,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X534,"","","","",1,ICD-10
X535,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X535,"","","","",1,ICD-10
X536,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X536,"","","","",1,ICD-10
X537,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X537,"","","","",1,ICD-10
X538,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X538,"","","","",1,ICD-10
X539,Lack of food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X539,"","","","",1,ICD-10
X54,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X54,"","","","",1,ICD-10
X540,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X540,"","","","",1,ICD-10
X541,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X541,"","","","",1,ICD-10
X542,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X542,"","","","",1,ICD-10
X543,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X543,"","","","",1,ICD-10
X544,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X544,"","","","",1,ICD-10
X545,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X545,"","","","",1,ICD-10
X546,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X546,"","","","",1,ICD-10
X547,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X547,"","","","",1,ICD-10
X548,Lack of water,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,X548,"","","","",1,ICD-10
74050,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74079,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74155,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74293,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74296,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74352,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74470,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74624,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
74775,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
75087,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
75612,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
76768,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
77005,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
77229,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
78918,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
79163,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
79246,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
79553,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
80858,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
83126,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
83254,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
84210,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
84554,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
85574,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,"","","","","",2,OXMIS
Z612,Altered pattern of family relationships in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z612,"","","","",1,ICD-10
Z613,Events resulting in loss of self-esteem in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z613,"","","","",1,ICD-10
Z610,Loss of love relationship in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z610,"","","","",1,ICD-10
Z619,"Negative life event in childhood, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z619,"","","","",1,ICD-10
Z618,Other negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z618,"","","","",1,ICD-10
Z62,Other problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z62,"","","","",1,ICD-10
Z628,Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z628,"","","","",1,ICD-10
Z637,Other stressful life events affecting family and household,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z637,"","","","",3,ICD-10
Z62898,Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z62898,"","","","",1,ICD-10
Z617,Personal frightening experience in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z617,"","","","",1,ICD-10
Z916,Personal history of other physical trauma,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z916,"","","","",3,ICD-10
Z914,"Personal history of psychological trauma, not elsewhere classified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z914,"","","","",1,ICD-10
Z629,"Problem related to upbringing, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z629,"","","","",1,ICD-10
Z61,Problems related to negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,Z61,"","","","",1,ICD-10
Z591,Inadequate housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z591,"","","","",3,ICD-10
Z598,Other problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z598,"","","","",3,ICD-10
Z599,"Problem related to housing and economic circumstances, unspecified",AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z599,"","","","",3,ICD-10
Z59,Problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z59,"","","","",3,ICD-10
Z590,Homelessness,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,Z590,"","","","",3,ICD-10
Z742,Need for assistance at home and no other household member able to render care,AFE19,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,Z742,"","","","",2,ICD-10
Z740,Need for assistance due to reduced mobility,AFE19,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,Z740,"","","","",2,ICD-10
Z741,Need for assistance with personal care,AFE19,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,Z741,"","","","",2,ICD-10
Z739,"Problem related to life-management difficulty, unspecified",AFE19,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,Z739,"","","","",2,ICD-10
T75,Effects of other external causes,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,T75,"","","","",3,ICD-10
Z608,Other problems related to social environment,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z608,"","","","",3,ICD-10
Z658,Other specified problems related to psychosocial circumstances,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z658,"","","","",3,ICD-10
Z659,Problem related to unspecified psychosocial circumstances,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z659,"","","","",3,ICD-10
Z64,Problems related to certain psychosocial circumstances,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z64,"","","","",3,ICD-10
Z65,Problems related to other psychosocial circumstances,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z65,"","","","",3,ICD-10
Z60,Problems related to social environment,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z60,"","","","",3,ICD-10
Z604,Social exclusion and rejection,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z604,"","","","",3,ICD-10
Z357,Supervision of high-risk pregnancy due to social problems,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,Z357,"","","",2,3,ICD-10
Z353,Supervision of pregnancy with history of insufficient antenatal care,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,Z353,"","","","",3,ICD-10
O0971,Supervisionofhighriskpregnancyduetosocialproblemsfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0971,"","","","",2,ICD-10
O0972,Supervisionofhighriskpregnancyduetosocialproblemssecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0972,"","","","",2,ICD-10
O0973,Supervisionofhighriskpregnancyduetosocialproblemsthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0973,"","","","",2,ICD-10
O0970,Supervisionofhighriskpregnancyduetosocialproblemsunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0970,"","","","",2,ICD-10
O0991,Supervisionofhighriskpregnancyunspecifiedfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0991,"","","","",2,ICD-10
O0992,Supervisionofhighriskpregnancyunspecifiedsecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0992,"","","","",2,ICD-10
O0993,Supervisionofhighriskpregnancyunspecifiedthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0993,"","","","",2,ICD-10
O0990,Supervisionofhighriskpregnancyunspecifiedunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0990,"","","","",2,ICD-10
O09891,Supervisionofotherhighriskpregnanciesfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O09891,"","","","",2,ICD-10
O09892,Supervisionofotherhighriskpregnanciessecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O09892,"","","","",2,ICD-10
O09893,Supervisionofotherhighriskpregnanciesthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O09893,"","","","",2,ICD-10
O09899,Supervisionofotherhighriskpregnanciesunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O09899,"","","","",2,ICD-10
Z356,Supervision of very young primigravida,AFE2,Supervision of very young primigravida,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,Z356,"","","","",2,ICD-10
O045,Medical abortion,AFE3,Abortion,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,O045,"","",Within pregnancy period of born child,"",2,ICD-10
O046,Medical abortion,AFE3,Abortion,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,O046,"","",Within pregnancy period of born child,"",2,ICD-10
Z640,Problems related to unwanted pregnancy,AFE3,Unwanted/concealed pregnancy,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,Z640,"","","","",1,ICD-10
Z640,Problems related to unwanted pregnancy,AFE3,Unwanted/concealed pregnancy,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,Z640,"","",Within pregnancy period of born child,"",2,ICD-10
Z56,Problems related to employment and unemployment,AFE6,Parental unemployment,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z56,"","","","",2,ICD-10
Z560,"Unemployment, unspecified",AFE6,Parental unemployment,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z560,"","","","",2,ICD-10
Z633,Absence of family member,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z633,"","","",2,3,ICD-10
Z601,Atypical parenting situation,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z601,"","","","",3,ICD-10
Z634,Disappearance and death of family member,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z634,"","","","",3,ICD-10
Z635,Disruption of family by separation and divorce,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z635,"","","",2,3,ICD-10
Z600,Problems of adjustment to life-cycle transitions,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z600,"","","","",3,ICD-10
Z551,Schooling unavailable and unattainable,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z551,"","","","",1,ICD-10
Z592,"Discord with neighbours, lodgers and landlord",AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z592,"","","","",3,ICD-10
Z631,Problems in relationship with parents and in-laws,AFE6,Parental conflict/relationship problems,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z631,"","","","",2,ICD-10
Z630,Problems in relationship with spouse or partner,AFE6,Parental conflict/relationship problems,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,Z630,"","","",2,2,ICD-10
Z653,Problems related to other legal circumstances,AFE8,Parental legal problems,Mother with legal problems,"Parental conflicts, disruptions and causes for concerns",AFE,Z653,"","","",2,2,ICD-10
Z040,Blood-alcohol and blood-drug test,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z040,"","","","",1,ICD-10
Z702,Counselling related to sexual behaviour and orientation of third party,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z702,"","","","",2,ICD-10
Z636,Dependent relative needing care at home,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z636,"","","","",1,ICD-10
Z644,Discord with counsellors,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z644,"","","","",3,ICD-10
Z048,Examination and observation for other specified reasons,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z048,"","","","",1,ICD-10
Z726,Gambling and betting,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z726,"","","","",1,ICD-10
Z761,Health supervision and care of foundling,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z761,"","","","",3,ICD-10
R455,Hostility,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,R455,"","","","",2,ICD-10
Z632,Inadequate family support,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z632,"","","",2,1,ICD-10
R636,Insufficient intake of food and water due to self neglect,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,R636,"","","","",3,ICD-10
Z743,Need for continuous supervision,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z743,"","","","",1,ICD-10
Z748,Other problems related to care-provider dependency,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z748,"","","",2,1,ICD-10
Z728,Other problems related to lifestyle,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z728,"","","","",1,ICD-10
Z63,"Other problems related to primary support group, including family circumstances",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z63,"","","","",3,ICD-10
Z912,Personal history of poor personal hygiene,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z912,"","","",2,2,ICD-10
Z749,"Problem related to care-provider dependency, unspecified",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z749,"","","",2,1,ICD-10
Z729,"Problem related to lifestyle, unspecified",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z729,"","","","",1,ICD-10
Z639,"Problem related to primary support group, unspecified",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z639,"","","",2,1,ICD-10
Z609,"Problem related to social environment, unspecified",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z609,"","","",2,3,ICD-10
Z74,Problems related to care-provider dependency,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z74,"","","","",1,ICD-10
Z72,Problems related to lifestyle,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z72,"","","","",1,ICD-10
Z643,Seeking and accepting behavioural and psychological interventions known to be hazardous and harmful,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z643,"","","",2,3,ICD-10
Z642,"Seeking and accepting physical, nutritional and chemical interventions known to be hazardous and harmful",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z642,"","","","",3,ICD-10
Z735,"Social role conflict, not elsewhere classified",AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z735,"","","","",3,ICD-10
Z753,Unavailability and inaccessibility of health-care facilities,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z753,"","","","",3,ICD-10
Z754,Unavailability and inaccessibility of other helping agencies,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z754,"","","",2,3,ICD-10
R460,Very low level of personal hygiene,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,R460,"","","","",2,ICD-10
p_P072,Deinfibulation of vulva,AFE9,FGM in mother,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,P072,"","","",2,2,OPCS-4
p_R272,Deinfibulation of vulva to facilitate delivery,AFE9,FGM in mother,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,R272,"","","",2,2,OPCS-4
Z917,Personal history of female genital mutilation,AFE9,FGM in mother,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z917,"","","",2,2,ICD-10
