Code_ready_CPRDGOLD_HES_ONS,coding_term,ACE_indicator_code,indicator_specific,ACE_indicator_1,ACE_indicator_2,ACE_domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
98455,Subject of multi-agency public protection arrangements,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,13Hl.00,"","","",1,2,read
35230,Physical abuse counselling,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,Z412.00,"","","",1,2,read
27889,"Battered woman, unspecified",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,SN56100,"","","",1,2,read
102895,Domestic abuse not discussed,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,8IC..00,"","","",1,2,read
48844,"[X]Assault by unspecified means, occurrence at home",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3z0.00,Home,"","",1,2,read
37113,"[X]Neglect and abandonment, by spouse or partner",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3M0.00,"","","",1,2,read
28484,"[X]Other maltreatment syndromes, by spouse or partner",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3N0.00,"","","",1,2,read
39640,"Battered person unspecified, syndrome",mIPV1,"Physical abuse, IPV","mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,SN56000,"","","",1,2,read
52916,"[X]Assault by blunt object, occurrence at home",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3F0.00,Home,"","",1,2,read
110073,Routine enquiry about domestic abuse not made,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,8IC1.00,"","","",1,2,read
33823,"[X]Assault by other specified means, occurrence at home",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3y0.00,Home,"","",1,2,read
50149,Crime against spouse,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,13W7000,"","","",1,2,read
107819,Routine enquiry about domestic abuse declined,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,8IC0.00,"","","",1,2,read
102501,Referral to domestic violence advocate,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,8Hl7.00,"","","",1,2,read
39837,[X]Other maltreatment syndromes,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3N..00,"","","",1,2,read
59088,[X]Hit struck kick twist bitten/scratch anoth pers occ home,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U120000,Home,"","",1,2,read
111174,HOdomesticphysicalabuse,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,14XD100,"","","",1,2,read
111275,HOdomesticsexualabuse,mIPV1,"Sexual abuse, IPV","mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,14XD200,"","","",1,2,read
111500,Victim of psychological abuse,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,14XJ.00,"","","",1,2,read
110365,Referral to multi-agency risk assessment conference,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,8T0b.00,"","","",1,2,read
70764,"[X]Other maltreatment syndromes, by acquaintance or friend",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3N2.00,"","","",1,2,read
111446,HOdomesticemotionalabuse,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,14XD000,"","","",1,2,read
104936,"[X]Maltreatment, by spouse or partner",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3P0.00,"","","",1,2,read
60248,[X]Assault by hanging strangulatn+suffocatn occurrn at home,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U360.00,Home,"","",1,2,read
93052,[X]Hanging strangulat+suffocat undet intent occurrn at home,mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U410.00,Home,"","",1,2,read
60116,[X]Assault by unspecif chemical/noxious substance occ home,mIPV1,"Assault NOS, IPV","mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U350.00,Home,"","",1,2,read
57258,"[X]Other maltreatment syndromes, by other specified persons",mIPV1,Parental intimate partner violence NOS,"mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3Ny.00,"","","",1,2,read
109859,[X]Assault by steam hot vapours+hot objects occurrn at home,mIPV1,"Assault NOS, IPV","mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3D0.00,Home,"","",1,2,read
104695,[X]Maltreatment,mIPV1,"Physical abuse, IPV","mIPV, NOS (incl. physical/sexual abuse)",mIPV,mIPV,U3P..00,"","","",1,2,read
Y072,By acquaintance or friend,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,Y072,"","","",2,2,ICD-10
Y078,By other specified persons,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,Y078,"","","",2,2,ICD-10
Y079,By unspecified person,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,Y079,"","","",2,2,ICD-10
Y050,Sexual assault by bodily force,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,Y050,Home,"","",,2,ICD-10
Z045,Examination and observation following other inflicted injury,mIPV4,"Physical abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,Z045,"","","",,2,ICD-10
X997,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X997,Farm,"","",,2,ICD-10
Y000,Assault by blunt object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y000,Home,"","",,2,ICD-10
Y040,Assault by bodily force,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y040,Home,"","",,2,ICD-10
X920,Assault by drowning and submersion,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X920,Home,"","",,2,ICD-10
X960,Assault by explosive material,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X960,Home,"","",,2,ICD-10
X930,Assault by handgun discharge,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X930,Home,"","",,2,ICD-10
X910,"Assault by hanging, strangulation and suffocation",mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X910,Home,"","",,2,ICD-10
X950,Assault by other and unspecified firearm discharge,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X950,Home,"","",,2,ICD-10
Y080,Assault by other specified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y080,Home,"","",,2,ICD-10
Y010,Assault by pushing from high place,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y010,Home,"","",,2,ICD-10
Y020,Assault by pushing or placing victim before moving object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y020,Home,"","",,2,ICD-10
X940,"Assault by rifle, shotgun and larger firearm discharge",mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X940,Home,"","",,2,ICD-10
X990,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X990,Home,"","",,2,ICD-10
X970,"Assault by smoke, fire and flames",mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X970,Home,"","",,2,ICD-10
Y090,Assault by unspecified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y090,Home,"","",,2,ICD-10
X996,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X996,Industrial and construction area,"","",,2,ICD-10
Y088,Assault by other specified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y088,Other specified places,"","",,2,ICD-10
X998,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X998,Other specified places,"","",,2,ICD-10
Y098,Assault by unspecified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y098,Other specified places,"","",,2,ICD-10
X991,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X991,Residential institution,"","",,2,ICD-10
X992,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X992,"School, other institution and public administrative area","","",,2,ICD-10
X993,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X993,Sports and athletics area,"","",,2,ICD-10
Y084,Assault by other specified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y084,Street and highway,"","",,2,ICD-10
X994,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X994,Street and highway,"","",,2,ICD-10
Y094,Assault by unspecified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y094,Street and highway,"","",,2,ICD-10
X995,Assault by sharp object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X995,Trade and service area,"","",,2,ICD-10
Y009,Assault by blunt object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y009,Unspecified place,"","",,2,ICD-10
X969,Assault by explosive material,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X969,Unspecified place,"","",,2,ICD-10
X939,Assault by handgun discharge,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X939,Unspecified place,"","",,2,ICD-10
X919,"Assault by hanging, strangulation and suffocation",mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X919,Unspecified place,"","",,2,ICD-10
Y019,Assault by pushing from high place,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y019,Unspecified place,"","",,2,ICD-10
Y029,Assault by pushing or placing victim before moving object,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y029,Unspecified place,"","",,2,ICD-10
X949,"Assault by rifle, shotgun and larger firearm discharge",mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X949,Unspecified place,"","",,2,ICD-10
X979,"Assault by smoke, fire and flames",mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,X979,Unspecified place,"","",,2,ICD-10
Y099,Assault by unspecified means,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Y099,Unspecified place,"","",,2,ICD-10
Z654,Victim of crime and terrorism,mIPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected mIPV (susp. mIPV),mIPV,Z654,"","","",,2,ICD-10
25033,Child/parent violence,mIPV3,Parental domestic violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13W4000,"","","",2,2,read
11246,At risk violence in the home,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13VF.00,"","","",2,2,read
464,Domestic problems,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13HT115,"","","",2,3,read
8170,History of abuse,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,14X..00,"","","",2,2,read
11965,Family member on protection register,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13IN.00,"","","",2,2,read
106303,Adult safeguarding concern,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9Ngj.00,"","","",2,1,read
32863,Significant event reviewed,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9g1..00,"","","",2,2,read
38935,Multi-professional risk assessment done,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9Oh3.00,"","","",2,2,read
99861,Under multi-agency care,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9NNY.00,"","","",2,2,read
30737,Family member removed from protection register,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13IP.00,"","","",2,2,read
51033,Significant event resolved,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9g2..00,"","","",2,2,read
93646,Family member on child protection register,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13Ig.00,"","","",2,2,read
102759,Referral to safeguarding adults team,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,8Hkc.00,"","","",2,2,read
53123,Significant,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9c40.00,"","","",2,2,read
105018,Child no longer safeguarding concern,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9NgB.00,"","","",2,2,read
111519,Multi-agency case management review,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,98G0.00,"","","",2,2,read
105329,History of being victim of domestic violence,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,14XE.00,"","","",2,2,read
110916,At risk of domestic violence,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13ZZ000,"","","",2,2,read
42454,Battered husband - history,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13HC.00,"","","",2,2,read
23508,Battered husband,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,SN56400,"","","",2,2,read
110925,Family member no longer on child protection register,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13IP000,"","","",2,2,read
106776,Adult no longer safeguarding concern,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9Ngk.00,"","","",2,3,read
109976,Safeguarding adults protection plan completed,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,8CMh.00,"","","",2,2,read
60980,Multi-professional risk assessment default,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,9Oh4.00,"","","",2,2,read
111290,At risk of psychological abuse,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13ZZ100,"","","",2,2,read
109194,DASH (Dom Abuse Stalking Harassment HBV) 2009 Risk Checklist,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,38Qm.00,"","","",2,2,read
110111,Generic Risk Indicators (Nat Risk Frwk Assess Child Yng Ppl),mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,38Qt.00,"","","",2,2,read
106540,[X]Other specified drowning and submersion occurrn at home,mIPV3,Parental intimate partner violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,U13y000,Home,"","",2,2,read
49606,[X]Sexual assault by bodil forc occ sch oth ins/pub adm area,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,U3L2.00,"","","",,2,read
103885,[X]Sexual assault by bodily force occurrn indust/constr area,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,U3L6.00,"","","",,2,read
98971,[X]Sexual assault by bodily force occurrn trade/servce area,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,U3L5.00,"","","",,2,read
7387,History of sexual abuse,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,14X1.00,"","","",,2,read
3879,Sexual abuse,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,SN57100,"","","",,2,read
3750,Sexual assault,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,TL01.11,"","","",,2,read
7816,[X]Rape,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,U3L..11,"","","",,2,read
22840,Victim of sexual abuse,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,14X6.00,"","","",,2,read
12264,[V]Observation following alleged rape,mIPV4,"Sexual abuse, IPV","Suspected mIPV, physical or sexual abuse",Suspected mIPV (susp. mIPV),mIPV,ZV71511,"","","",,2,read
